"GrazeTime"	"Plot"	"Sample"	"Block"	"Treatment"	"NPOC_t0Nmin_ppm"	"DON_t0Nmin_ppm"	"NPOC_t0Nmin_mgg"	"DON_t0Nmin_mgg"	"NPOC_mbc_ppm"	"DON_mbc_ppm"	"DOC_mbc_mgg"	"DON_mbc_mgg"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"	"NO3_ppm"	"NH4_ppm"	"NO3_mgkg"	"NH4_mgkg"	"minN_ppm"	"minN_mgkg"
"26"	"1WK"	3	1	1	"HI"	31.95	2.312	163.4236318	11.82583526	NA	NA	NA	NA	NA	NA	NA	NA	0.1109	0.02094207	0.567251354	0.107118283	0.13184207	0.674369637
"27"	"1WK"	3	2	1	"HI"	42.76	2.771	213.4541002	13.83258446	NA	NA	NA	NA	NA	NA	NA	NA	0.11584	0.03184107	0.578262932	0.158947777	0.14768107	0.737210709
"28"	"1WK"	3	3	1	"HI"	40.01	2.362	197.2715628	11.64597429	NA	NA	NA	NA	NA	NA	NA	NA	0.10908	0.02647807	0.537825096	0.130551618	0.13555807	0.668376714
"29"	"1WK"	3	4	1	"HI"	39.05	2.517	200.1931005	12.90361163	NA	NA	NA	NA	NA	NA	NA	NA	0.11376	0.02561307	0.583200182	0.131307552	0.13937307	0.714507734
"30"	"1WK"	3	5	1	"HI"	55.95	3.083	286.2542499	15.77340219	111.61	6.382	496.7780653	28.40639381	210.5238154	12.63299162	467.8307009	23.39442892	0.1109	0.02422907	0.567392249	0.123962006	0.13512907	0.691354255
"31"	"1WK"	4	1	2	"NO"	25.54	2.158	127.6064469	10.78209524	74.64	5.001	318.9004229	21.36684103	191.293976	10.5847458	425.0977244	19.6013811	0.10726	0.04274007	0.535907106	0.213543793	0.15000007	0.749450899
"32"	"1WK"	4	2	2	"NO"	45.52	2.475	228.9652601	12.44923152	83.07	4.282	345.9443733	17.83235592	116.9791132	5.383124402	259.9535848	9.968748892	0.09998	0.03876107	0.502898654	0.194967893	0.13874107	0.697866547
"33"	"1WK"	4	3	2	"NO"	47.23	2.626	235.0395963	13.06826127	95.59	5.025	403.9195085	21.23334586	168.8799123	8.165084586	375.2886939	15.12052701	0.10336	0.03789607	0.514369949	0.188589392	0.14125607	0.702959341
"34"	"1WK"	4	4	2	"NO"	35.99	2.461	182.7377919	12.4956295	73.53	3.785	312.0414202	16.06251564	129.3036283	3.566886141	287.3413962	6.605344706	0.0979	0.03512807	0.497083352	0.178361377	0.13302807	0.675444729
"35"	"1WK"	4	5	2	"NO"	37.69	2.51	188.2189266	12.53461146	65.83	3.878	281.6363268	16.59100221	93.41740018	4.056390751	207.5942226	7.511834723	0.10336	0.03651207	0.516166311	0.182336498	0.13987207	0.698502809
"36"	"1WK"	5	1	2	"LO"	32.26	2.151	158.8023162	10.58846194	95.75	4.431	398.3228817	18.43309336	239.5205655	7.844631417	532.2679233	14.52709522	0.10102	0.03893407	0.497278673	0.191655936	0.13995407	0.688934609
"37"	"1WK"	5	2	2	"LO"	27.95	1.817	142.8291541	9.285172557	95.49	4.619	394.4173081	19.07857939	251.588154	9.793406832	559.0847866	18.13593858	0.10336	0.02353707	0.528186811	0.120278347	0.12689707	0.648465158
"38"	"1WK"	5	3	2	"LO"	32.83	2.268	161.0808585	11.12797402	101.61	4.86	420.4599792	20.11057474	259.3791208	8.98260072	576.3980462	16.63444578	0.10284	0.03893407	0.504585912	0.191030564	0.14177407	0.695616476
"39"	"1WK"	5	4	2	"LO"	37.61	2.032	187.3055146	10.11977681	103.01	4.946	441.5125559	21.19911758	254.2070413	11.07934077	564.9045362	20.51729772	0.11116	0.03530107	0.553599601	0.17580657	0.14646107	0.729406171
"40"	"1WK"	5	5	2	"LO"	29.15	1.353	148.8368792	6.908277787	77.85	3.212	330.1169479	13.62023939	181.2800687	6.711961605	402.8445972	12.42955853	0.1161	0.01765507	0.592794568	0.090144958	0.13375507	0.682939526
"41"	"1WK"	6	1	2	"HI"	14.65	1.119	73.80738864	5.6375746	86.9	3.759	368.7324394	15.95011783	294.9250508	10.31254323	655.3890018	19.09730229	0.10232	0.02371007	0.51549297	0.119452447	0.12603007	0.634945417
"42"	"1WK"	6	2	2	"HI"	29.54	1.86	148.487062	9.349557729	86.37	4.205	378.3760583	18.42157376	229.8889964	9.072016028	510.8644364	16.80002968	0.10492	0.03512807	0.527395482	0.1765763	0.14004807	0.703971782
"43"	"1WK"	6	3	2	"HI"	35.92	2.281	180.5570503	11.46577483	96.71	5.36	415.1152154	23.00710945	234.5581651	11.54133462	521.2403669	21.37284189	0.10648	0.04793007	0.535237047	0.240927396	0.15441007	0.776164443
"44"	"1WK"	6	4	2	"HI"	43.86	2.6	220.1243702	13.04886828	106.21	6.015	457.5631856	25.91321497	237.4388154	12.86434669	527.641812	23.82286424	0	0.03772307	0	0.189324374	0.03772307	0.189324374
"45"	"1WK"	6	5	2	"HI"	62.96	2.993	339.4009156	16.13448126	91.62	5.714	423.3983732	26.40578809	83.99745762	10.27130682	186.6610169	19.02093856	0.10206	0.06523007	0.550178803	0.35163827	0.16729007	0.901817073
"46"	"1WK"	7	1	3	"LO"	65.84	3.994	369.3774466	22.40725276	108.61	7.152	500.9598866	32.98835383	131.58244	10.58110107	292.4054223	19.59463161	0.10102	0.02941907	0.566745286	0.165047706	0.13043907	0.731792992
"47"	"1WK"	7	2	3	"LO"	38.01	2.581	191.5844915	13.00919686	49.79	3.286	213.7659783	14.1079535	22.1814868	1.098756641	49.2921929	2.03473452	0	0.03772307	0	0.190138258	0.03772307	0.190138258
"48"	"1WK"	7	3	3	"LO"	33.96	2.48	171.7131092	12.5397088	68.95	4.88	287.7184312	20.36353799	116.0053219	7.823829185	257.7896043	14.48857256	0.10102	0.04654607	0.51079088	0.235352485	0.14756607	0.746143365
"49"	"1WK"	7	4	3	"LO"	31.33	2.391	155.6115673	11.87575032	59.78	4.51	247.0085409	18.63513749	91.39697359	6.759387178	203.1043858	12.51738366	0.11402	0.05208207	0.566320808	0.25868409	0.16610207	0.825004898
"50"	"1WK"	7	5	3	"LO"	33.43	1.712	165.7568576	8.488655108	59.78	3.678	247.3576675	15.21882739	81.60080989	6.730172278	181.3351331	12.463282	0.09816	0.02388307	0.486709337	0.118420061	0.12204307	0.605129398
"51"	"1WK"	8	1	3	"NO"	70.04	4.027	345.7342375	19.87823778	110.01	7.366	455.5583901	30.50307337	109.8241527	10.62483559	244.0536726	19.67562146	0.10362	0.02820807	0.511493171	0.139241799	0.13182807	0.65073497
"52"	"1WK"	8	2	3	"NO"	38.3	1.931	204.2932128	10.30000507	59.81	3.817	261.5478385	16.69165858	57.2546257	6.391653515	127.2325015	11.8363954	0.11012	0.01471407	0.587382992	0.078485238	0.12483407	0.66586823
"53"	"1WK"	8	3	3	"NO"	484.75	2.521	2366.365591	12.30656556	72.69	3.399	297.8844758	13.92914202	0	1.622576455	0	3.004771212	0.09686	0.03270607	0.472833772	0.159658625	0.12956607	0.632492397
"54"	"1WK"	8	4	3	"NO"	62.37	1.753	321.110845	9.025289582	65.14	3.771	280.3584145	16.23014401	0	7.204854432	0	13.34232302	0	0.01713607	0	0.088224754	0.01713607	0.088224754
"55"	"1WK"	8	5	3	"NO"	32.37	1.692	171.0080756	8.938698299	61.59	4.334	270.2137343	19.01455308	99.20565869	10.07585479	220.4570193	18.65899034	0	0.03184107	0	0.168213781	0.03184107	0.168213781
"56"	"1WK"	9	1	3	"HI"	85.08	4.612	432.3093791	23.43454227	125.81	8.277	525.0067065	34.54002472	92.69732737	11.10548244	205.9940608	20.56570823	0.11922	0.05813707	0.605781901	0.295406684	0.17735707	0.901188585
"57"	"1WK"	9	2	3	"HI"	59.83	1.801	303.5439537	9.1372666	59.17	3.418	256.4961405	14.81669441	0	5.679427807	0	10.5174589	0.10336	0.03218707	0.524390825	0.163299189	0.13554707	0.687690014
"58"	"1WK"	9	3	3	"HI"	51.72	3.144	257.4460072	15.64985009	71.9	5.7	302.5104645	23.98205352	45.06445732	8.332203426	100.1432385	15.43000634	0.10882	0.05571507	0.541671974	0.277332218	0.16453507	0.819004192
"59"	"1WK"	9	4	3	"HI"	47.93	2.038	240.1268205	10.21027457	70.51	2.705	307.0636112	11.77998962	66.93679067	1.569715051	148.7484237	2.906879724	0.10622	0.03253307	0.532156705	0.162988998	0.13875307	0.695145703
"60"	"1WK"	9	5	3	"HI"	38.37	1.417	193.4598408	7.14445125	53.25	3.27	225.2203133	13.83043051	31.76047249	6.685979258	70.57882775	12.38144307	0.09686	0.03547407	0.488363831	0.17885869	0.13233407	0.667222521
"61"	"24H"	1	1	1	"NO"	34.71	2.79	171.2652201	13.76634872	49.65	5.056	213.9468901	21.78681724	42.68167001	8.020468527	94.84815558	14.8527195	0.10882	0.03962607	0.536936942	0.195521971	0.14844607	0.732458913
