"Observed"	"Chao1"	"se.chao1"	"ACE"	"se.ACE"	"Shannon"	"Simpson"	"InvSimpson"	"Fisher"	"ID"	"GrazeTime"	"Treatment"	"Year"	"seq"
963	1056.27922077922	18.850837694309	1059.07393456084	14.2736272712726	6.01487538726328	0.991683072553738	120.236710787875	282.915985254725	"1WK_1_B"	"1WK"	"NO"	"2017"	"16S"
679	698.217391304348	7.31160532609733	698.770175154232	12.6343444620516	5.95957721021421	0.99531234548955	213.326301622872	175.518242658784	"1WK_1_R"	"1WK"	"NO"	"2017"	"16S"
804	850.2	12.3877224634449	848.471063099411	13.1606371084681	6.04042857128423	0.99574482884898	235.008173469211	220.543772554301	"1WK_2_B"	"1WK"	"LO"	"2017"	"16S"
830	878.5	13.0099596975779	876.116616431007	13.7135776007621	6.18156575643928	0.996814128885035	313.885893030223	230.351859083556	"1WK_2_R"	"1WK"	"LO"	"2017"	"16S"
825	872.974137931035	12.4628144286866	876.77341558054	13.4172630213805	6.09736798925179	0.996179587503483	261.751839863253	228.453843334642	"1WK_3_B"	"1WK"	"HI"	"2017"	"16S"
873	939.838709677419	16.5936170579405	926.519178430582	14.0087469408735	6.25850417528316	0.99711429053884	346.53523282902	246.907897454714	"1WK_3_R"	"1WK"	"HI"	"2017"	"16S"
814	870.483870967742	14.6811752296817	860.593702422074	13.35124189671	6.09249961047343	0.996042715207713	252.698517415053	224.298065744687	"1WK_4_B"	"1WK"	"NO"	"2017"	"16S"
637	665.557692307692	10.2153523903201	658.111300274258	12.354881612259	5.89895415656348	0.995392601352096	217.042213279033	161.182507272356	"1WK_4_R"	"1WK"	"NO"	"2017"	"16S"
747	776.379310344828	9.37101607949334	776.341275438599	12.8135559708206	5.95837676512706	0.994705107648864	188.861252256702	199.57487022653	"1WK_5_B"	"1WK"	"LO"	"2017"	"16S"
758	806.176470588235	13.353529604439	799.021687425618	13.0993276256253	5.97068169865661	0.995007603696314	200.304611086614	203.56445571543	"1WK_5_R"	"1WK"	"LO"	"2017"	"16S"
783	840.386363636364	15.0370553899471	831.137960894484	13.3364520668523	6.07083521080099	0.996121966394512	257.862644249635	212.733160545637	"1WK_6_B"	"1WK"	"HI"	"2017"	"16S"
692	722.089552238806	10.0442972688717	717.934262626451	12.8122699061771	6.00075695804831	0.996074480690863	254.743365463147	180.036520748746	"1WK_6_R"	"1WK"	"HI"	"2017"	"16S"
800	863.965517241379	16.319500322192	849.662828682893	13.2459390133607	6.00641071767571	0.995136615881834	205.618140723211	219.048370249671	"1WK_7_B"	"1WK"	"LO"	"2017"	"16S"
724	768.507042253521	13.1268216471997	760.357528518449	13.05511944296	5.99370035172939	0.995563218933221	225.388628591028	191.321205864428	"1WK_7_R"	"1WK"	"LO"	"2017"	"16S"
