"GrazeTime"	"Block"	"Treatment"	"Plot"	"Sample"	"SampDate"	"NO3_t0Nmin_ppm"	"NH4_t0Nmin_ppm"	"NPOC_t0Nmin_ppm"	"DON_t0Nmin_ppm"	"NO3_t0Nmin_mgg"	"NH4_t0Nmin_mgg"	"NPOC_t0Nmin_mgg"	"DON_t0Nmin_mgg"	"NPOC_mbc_ppm"	"DON_mbc_ppm"	"DOC_mbc_mgg"	"DON_mbc_mgg"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"	"minN_mgg"
"1WK"	4	"HI"	10	2	2017-07-20	0.016	0.139	47.05	1.894	0.079374548	0.689566389	233.4107812	9.395962158	72.39	3.514	300.4205404	14.58319905	67.00975927	5.18723689	148.9105762	9.605994241	0.768940937
"4WK"	4	"HI"	10	2	2017-08-10	0.076	0.104	24.33	2.026	0.432876703	0.592357594	138.5775024	11.53958158	62.13	8.495	287.7707525	39.34673333	149.19325	27.80715175	331.5405556	51.49472547	1.025234297
"PRE"	4	"HI"	10	3	2017-07-05	0.029	0.212	74.2	3.738	0.151378333	1.106627816	387.3197356	19.51214517	89.57	5.956	356.5465861	23.70873581	0	4.19659064	0	7.771464149	1.258006149
"24H"	4	"HI"	10	3	2017-07-14	0.014	0.138	52.4	3.497	0.069618127	0.686235822	260.5707033	17.38961354	70.13	5.952	304.7271362	25.86248274	44.15643289	8.472869203	98.12540643	15.69049852	0.755853949
"1WK"	4	"HI"	10	3	2017-07-20	0.068	0.158	80.82	2.317	0.358867475	0.833839133	426.5245488	12.22788146	64.52	3.132	276.493842	13.42186474	0	1.193983282	0	2.211080152	1.192706608
"4WK"	4	"HI"	10	3	2017-08-10	0.052	0.065	21.95	1.58	0.291700685	0.364625857	123.1313469	8.863213128	52.91	7.293	236.2503129	32.56423231	113.1189659	23.70101919	251.3754798	43.89077627	0.656326542
"PRE"	4	"HI"	10	4	2017-07-05	0.001	0.1	89.9	3.764	0.005243926	0.524392649	471.4289915	19.73813931	98.01	5.712	414.7725057	24.17284514	0	4.434705834	0	8.212418211	0.529636575
"24H"	4	"HI"	10	4	2017-07-14	0.024	0.105	35.31	2.222	0.118489951	0.518393538	174.3283411	10.97019468	49.07	5.449	206.3926941	22.91896862	32.06435298	11.94877395	71.25411774	22.12735916	0.636883489
"1WK"	4	"HI"	10	4	2017-07-20	0.112	0.148	89.64	3.042	0.562883369	0.743810166	450.5077249	15.28831436	69.86	3.739	293.0791351	15.68598463	0	0.39767027	0	0.736426426	1.306693535
"4WK"	4	"HI"	10	4	2017-08-10	0.007	0.114	98.05	2.513	0.040185872	0.654455628	562.8892487	14.42672802	66.63	6.16	307.1430429	28.39563476	0	13.96890675	0	25.86834583	0.6946415
