"GrazeTime"	"Block"	"Treatment"	"Plot"	"Sample"	"SampDate"	"NO3_t0Nmin_ppm"	"NH4_t0Nmin_ppm"	"NPOC_t0Nmin_ppm"	"DON_t0Nmin_ppm"	"NO3_t0Nmin_mgg"	"NH4_t0Nmin_mgg"	"NPOC_t0Nmin_mgg"	"DON_t0Nmin_mgg"	"NPOC_mbc_ppm"	"DON_mbc_ppm"	"DOC_mbc_mgg"	"DON_mbc_mgg"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"	"minN_mgg"
"24H"	1	"HI"	3	5	2017-07-11	0.046	0.061	39.65	2.587	0.282499429	0.374618808	243.5022249	15.88752222	76	8.109	375.8817734	40.10559606	132.3795485	24.21807384	294.1767744	44.8482849	0.657118237
"1WK"	1	"HI"	3	5	2017-07-17	0.055	0.1	55.95	3.083	0.281393811	0.511625112	286.2542499	15.77340219	111.61	6.382	496.7780653	28.40639381	210.5238154	12.63299162	467.8307009	23.39442892	0.793018923
"4WK"	1	"HI"	3	5	2017-08-07	0.073	0.026	32.39	1.694	0.382323981	0.136170185	169.6366265	8.872011279	100.81	8.067	412.9994888	33.04897209	243.3628623	24.17696081	540.8063606	44.77214964	0.518494166
"PRE"	2	"NO"	4	1	2017-07-04	0	0.208	72.07	2.906	0	1.107237095	383.647007	15.4693798	62.85	6.126	278.2098542	27.11716097	0	11.64778117	0	21.56996512	1.085944074
"24H"	2	"NO"	4	1	2017-07-13	0.004	0.127	117.15	2.376	0.021227014	0.6739577	621.6861778	12.60884642	63.34	5.829	279.8901583	25.75749499	0	13.14864857	0	24.3493492	0.695184714
"1WK"	2	"NO"	4	1	2017-07-19	0.041	0.207	25.54	2.158	0.204849817	1.034241758	127.6064469	10.78209524	74.64	5.001	318.9004229	21.36684103	191.293976	10.5847458	425.0977244	19.6013811	1.239091575
"4WK"	2	"NO"	4	1	2017-08-09	0.019	0.046	26.66	1.534	0.102804968	0.248896238	144.2516024	8.300148466	60.82	5.072	266.4362487	22.21908342	122.1846463	13.91893495	271.5214362	25.77580547	0.351701206
"PRE"	2	"NO"	4	2	2017-07-04	0	0.196	50.27	2.251	0	1.056089263	270.8653431	12.12886189	63.22	5.154	272.1380316	22.18600783	1.272688527	10.05714594	2.828196726	18.62434433	1.02914821
"24H"	2	"NO"	4	2	2017-07-13	0.002	0.109	43.67	2.287	0.009906291	0.539892857	216.303863	11.32784371	56.82	5.219	242.6955075	22.29193688	26.39164442	10.96409317	58.64809871	20.30387624	0.549799148
"1WK"	2	"NO"	4	2	2017-07-19	0.013	0.184	45.52	2.475	0.065389903	0.925518626	228.9652601	12.44923152	83.07	4.282	345.9443733	17.83235592	116.9791132	5.383124402	259.9535848	9.968748892	0.990908529
"4WK"	2	"NO"	4	2	2017-08-09	0.03	0.05	18.17	1.219	0.159496542	0.265827569	96.60173874	6.480876143	61.91	4.866	262.1298984	20.60287652	165.5281596	14.12200038	367.8403547	26.15185255	0.425324111
"PRE"	2	"NO"	4	3	2017-07-04	0.019	0.271	48.14	2.822	0.099790123	1.423322284	252.8366595	14.82145935	74.11	7.219	295.2910584	28.76408245	42.45439884	13.9426231	94.34310853	25.8196724	1.523112407
"24H"	2	"NO"	4	3	2017-07-13	0	0.068	30.31	2.021	0	0.350034811	156.0228694	10.40324048	55.52	5.257	240.3260394	22.75565542	84.30317002	12.35241494	187.3403778	22.87484248	0.314001816
"1WK"	2	"NO"	4	3	2017-07-19	0.026	0.179	47.23	2.626	0.129388725	0.89079161	235.0395963	13.06826127	95.59	5.025	403.9195085	21.23334586	168.8799123	8.165084586	375.2886939	15.12052701	1.020180335
"4WK"	2	"NO"	4	3	2017-08-09	0.04	0.033	68.46	1.484	0.214506763	0.176968079	367.1283246	7.958200902	52.23	5.239	225.4152801	22.61058113	0	14.65238023	0	27.13403746	0.391474842
"PRE"	2	"NO"	4	4	2017-07-04	0	0.244	47.63	2.523	0	1.31659844	257.0064906	13.61384371	62.26	5.736	271.0553773	24.97227183	14.04888669	11.35842812	31.2197482	21.03412615	1.311202545
"24H"	2	"NO"	4	4	2017-07-13	0	0.095	46.94	2.366	0	0.501186383	247.6388299	12.48217877	64.09	5.801	282.3769496	25.55888102	34.73811968	13.07670225	77.19582151	24.21611527	0.474808152
"1WK"	2	"NO"	4	4	2017-07-19	0.005	0.163	35.99	2.461	0.025387301	0.827626009	182.7377919	12.4956295	73.53	3.785	312.0414202	16.06251564	129.3036283	3.566886141	287.3413962	6.605344706	0.85301331
"4WK"	2	"NO"	4	4	2017-08-09	0	0.056	17.95	1.301	0	0.307651223	98.61320467	7.147397174	51.85	5.34	219.5435207	22.61065382	120.930316	15.46325664	268.7340355	28.63566045	0.302157451
"PRE"	2	"NO"	4	5	2017-07-04	0.01	0.174	65.11	2.219	0.053548485	0.93174364	348.6541863	11.88240884	92.29	6.5	407.0110206	28.66585366	58.35683429	16.78344482	129.681854	31.08045337	0.985292125
"24H"	2	"NO"	4	5	2017-07-13	0.009	0.127	30.36	2.38	0.052588731	0.74208543	177.3993202	13.90679783	56.01	4.884	277.3578799	24.18525058	99.95855962	10.27845275	222.1301325	19.03417176	0.794674161
"1WK"	2	"NO"	4	5	2017-07-19	0.026	0.171	37.69	2.51	0.129840597	0.853951617	188.2189266	12.53461146	65.83	3.878	281.6363268	16.59100221	93.41740018	4.056390751	207.5942226	7.511834723	0.983792214
"4WK"	2	"NO"	4	5	2017-08-09	0.024	0.01	53.55	1.805	0.127252968	0.05302207	283.9331853	9.570483651	62.6	4.821	272.0600429	20.95210011	0	11.38161646	0	21.07706752	0.180275038
"PRE"	2	"LO"	5	1	2017-07-04	0.004	0.25	60.22	3.612	0.021246189	1.327886792	319.8613706	19.18530838	104.51	7.483	452.4122206	32.39307862	132.5508501	13.20777025	294.5574446	24.45883379	1.349132981
"24H"	2	"LO"	5	1	2017-07-13	0.11	0.186	54.1	3.535	0.575156201	0.97253685	282.8722773	18.48342884	66.38	7.071	290.9231435	30.9900203	8.050866235	12.50659146	17.89081386	23.16035456	1.547693051
"1WK"	2	"LO"	5	1	2017-07-19	0.017	0.185	32.26	2.151	0.0836838	0.910676643	158.8023162	10.58846194	95.75	4.431	398.3228817	18.43309336	239.5205655	7.844631417	532.2679233	14.52709522	0.994360443
"4WK"	2	"LO"	5	1	2017-08-09	0	0.049	17.49	1.217	0	0.274260481	97.89420011	6.811734793	44.51	5.346	213.5120143	25.64446705	115.6178142	18.83273226	256.928476	34.87543011	0.223886107
"PRE"	2	"LO"	5	2	2017-07-04	0.008	0.239	57.6	2.477	0.041305813	1.234011175	297.4018563	12.78931247	129.81	8.962	557.8043161	38.51045591	260.4024599	25.72114344	578.672133	47.63174711	1.275316988
"24H"	2	"LO"	5	2	2017-07-13	0.01	0.152	53.76	2.811	0.050285429	0.764338523	270.3344672	14.13523414	46.8	4.611	198.3125738	19.53887346	0	5.403639321	0	10.00673948	0.814623952
"1WK"	2	"LO"	5	2	2017-07-19	0.026	0.096	27.95	1.817	0.132864329	0.490575985	142.8291541	9.285172557	95.49	4.619	394.4173081	19.07857939	251.588154	9.793406832	559.0847866	18.13593858	0.623440314
"4WK"	2	"LO"	5	2	2017-08-09	0	0.032	16.46	1	0	0.172220489	88.58591411	5.381890286	36.72	4.248	160.9506999	18.61978685	72.36478582	13.23789657	160.8106352	24.51462327	0.00538189
"PRE"	2	"LO"	5	3	2017-07-04	0.005	0.505	46.53	3.414	0.026112653	2.637377953	243.0043488	17.82971947	124.71	11.34	530.7095999	48.25793331	287.7052511	30.42821384	639.3450025	56.34854415	2.663490606
"24H"	2	"LO"	5	3	2017-07-13	0.028	0.118	56.76	2.503	0.139363559	0.587317854	282.5098424	12.45810669	55.42	4.504	234.7577027	19.07882881	0	6.620722128	0	12.26059653	0.726681413
"1WK"	2	"LO"	5	3	2017-07-19	0.024	0.185	32.83	2.268	0.117756339	0.907705112	161.0808585	11.12797402	101.61	4.86	420.4599792	20.11057474	259.3791208	8.98260072	576.3980462	16.63444578	1.025461451
"4WK"	2	"LO"	5	3	2017-08-09	0	0.069	27.74	1.312	0	0.37387487	150.3085348	7.109041012	41.67	4.938	181.3401409	21.48926364	31.03160612	14.38022263	68.95912472	26.63004191	0.303434677
"PRE"	2	"LO"	5	4	2017-07-04	0.001	0.245	80.57	3.371	0.005370146	1.315685677	432.6726327	18.10276089	136.11	9.92	555.1786874	40.46265946	122.5060548	22.35989857	272.2356773	41.40721958	1.321055823
"24H"	2	"LO"	5	4	2017-07-13	0.045	0.103	35.36	2.503	0.228299571	0.522552351	179.3927295	12.69852947	59.85	5.667	257.275916	24.36061179	77.88318647	11.66208233	173.0737477	21.59644875	0.750851922
"1WK"	2	"LO"	5	4	2017-07-19	0.056	0.164	37.61	2.032	0.278891487	0.81675364	187.3055146	10.11977681	103.01	4.946	441.5125559	21.19911758	254.2070413	11.07934077	564.9045362	20.51729772	1.095645127
"4WK"	2	"LO"	5	4	2017-08-09	0.065	0.078	27.4	1.848	0.36219881	0.434638572	152.6807291	10.29759078	55.03	5.906	251.1001864	26.94889516	98.41945728	16.65130438	218.7099051	30.83574886	0.796837382
"PRE"	2	"LO"	5	5	2017-07-04	0.02	0.174	32.79	1.739	0.102279737	0.889833716	167.6876295	8.893223168	88.33	7.398	369.1964223	30.92171552	201.5087928	22.02849235	447.7973173	40.79350436	0.992113453
"24H"	2	"LO"	5	5	2017-07-13	0.021	0.154	33.66	2.571	0.104767949	0.768298291	167.928055	12.8265903	60.56	6.479	260.0170387	27.81787308	92.0889837	14.99128278	204.642186	27.76163478	0.87306624
"1WK"	2	"LO"	5	5	2017-07-19	0.075	0.062	29.15	1.353	0.382942228	0.316565575	148.8368792	6.908277787	77.85	3.212	330.1169479	13.62023939	181.2800687	6.711961605	402.8445972	12.42955853	0.699507803
"4WK"	2	"LO"	5	5	2017-08-09	0	0.089	58.4	2.82	0	0.472730747	310.1963551	14.97865961	74.78	6.391	332.8798651	28.44925405	22.68350999	13.47059444	50.40779999	24.94554525	0.387745444
"PRE"	2	"HI"	6	1	2017-07-04	0	0.208	59.63	2.452	0	1.083723062	310.6846451	12.77542763	130.81	8.875	553.0049762	37.5194493	242.3203311	24.74402167	538.4896247	45.82226235	1.083723062
"24H"	2	"HI"	6	1	2017-07-13	0.007	0.114	27.9	1.387	0.03761352	0.612563041	149.9167443	7.452850334	59.17	2.778	268.4282595	12.60256388	118.5115152	5.149713546	263.3589226	9.536506566	0.650176561
"1WK"	2	"HI"	6	1	2017-07-19	0.022	0.097	14.65	1.119	0.110837034	0.48869056	73.80738864	5.6375746	86.9	3.759	368.7324394	15.95011783	294.9250508	10.31254323	655.3890018	19.09730229	0.599527594
"4WK"	2	"HI"	6	1	2017-08-09	0.011	0.034	17.96	1.388	0.061892515	0.191304137	101.0535971	7.809710068	54.43	6.181	246.8770365	28.03503514	145.8234394	20.22532507	324.0520875	37.45430568	0.253196652
"PRE"	2	"HI"	6	2	2017-07-04	0.006	0.174	39.38	1.513	0.03064486	0.888700946	201.1324325	7.727612249	83.72	6.504	336.7836514	26.16388997	135.6512189	18.43627772	301.4471531	34.14125505	0.919345806
"24H"	2	"HI"	6	2	2017-07-13	0.073	0.151	48.64	2.475	0.36820173	0.761622756	245.3333169	12.4835518	48.53	4.435	206.1595937	18.84025959	0	6.356707794	0	11.7716811	1.129824486
"1WK"	2	"HI"	6	2	2017-07-19	0.032	0.162	29.54	1.86	0.160852606	0.814316318	148.487062	9.349557729	86.37	4.205	378.3760583	18.42157376	229.8889964	9.072016028	510.8644364	16.80002968	0.975168924
"4WK"	2	"HI"	6	2	2017-08-09	0	0.085	33.23	1.371	0	0.477776064	186.7823366	7.70624687	45.92	4.684	206.5264396	21.06641644	19.74410295	13.36016957	43.87578433	24.74105476	0.44967159
"PRE"	2	"HI"	6	3	2017-07-04	0.018	0.223	43.21	1.98	0.09220962	1.142374741	221.3543164	10.14305824	87.38	6.803	360.8162362	28.09147236	139.4619198	17.94841412	309.9153774	33.23780393	1.234584361
"24H"	2	"HI"	6	3	2017-07-13	0.05	0.098	21.85	1.825	0.259895158	0.509394509	113.5741839	9.486173255	54	5.508	234.5373172	23.92280635	120.9631333	14.4366331	268.8069629	26.73450574	0.769289667
"1WK"	2	"HI"	6	3	2017-07-19	0.038	0.237	35.92	2.281	0.19101247	1.191314614	180.5570503	11.46577483	96.71	5.36	415.1152154	23.00710945	234.5581651	11.54133462	521.2403669	21.37284189	1.382327084
"4WK"	2	"HI"	6	3	2017-08-09	0	0.052	20.97	1.501	0	0.287661035	116.0048445	8.303446427	52.11	6.328	233.2165676	28.32075302	117.2117231	20.01730659	260.4704958	37.06908628	0.127234688
"PRE"	2	"HI"	6	4	2017-07-04	0	0.178	65.92	2.51	0	0.937350841	347.1357722	13.21770006	115.01	7.507	498.4507796	32.53517088	151.3150075	19.31747082	336.2555722	35.7730941	0.926818809
"24H"	2	"HI"	6	4	2017-07-13	0.024	0.081	36.25	1.926	0.121960302	0.411616021	184.2108734	9.787314269	55.72	5.51	239.7597465	23.70919245	55.54887307	13.92187818	123.4419402	25.78125589	0.533576323
"1WK"	2	"HI"	6	4	2017-07-19	0	0.177	43.86	2.6	0	0.888326802	220.1243702	13.04886828	106.21	6.015	457.5631856	25.91321497	237.4388154	12.86434669	527.641812	23.82286424	0.878289211
"4WK"	2	"HI"	6	4	2017-08-09	0	0.053	21.28	1.45	0	0.297247942	119.3478528	8.132255009	51.68	5.474	231.4542359	24.51587631	112.1063831	16.3836213	249.1252958	30.34003944	0.157036649
"PRE"	2	"HI"	6	5	2017-07-04	0.004	0.231	62.19	2.978	0.021917973	1.265762922	340.7696803	16.31793066	150.81	12.15	627.8856037	50.58557181	287.1159234	34.26764115	638.0353853	63.45859472	1.287680895
"24H"	2	"HI"	6	5	2017-07-13	0.03	0.077	35.74	2.021	0.150214426	0.38555036	178.9554529	10.11944517	40.97	4.262	176.3678742	18.3470803	0	8.227635136	0	15.23636136	0.535764786
"1WK"	2	"HI"	6	5	2017-07-19	0.021	0.337	62.96	2.993	0.113205515	1.81667898	339.4009156	16.13448126	91.62	5.714	423.3983732	26.40578809	83.99745762	10.27130682	186.6610169	19.02093856	1.929884495
"4WK"	2	"HI"	6	5	2017-08-09	0	0.051	35.49	1.683	0	0.275833553	191.9477019	9.102507248	59.41	5.882	252.9483273	25.04363004	61.00062539	15.9411228	135.5569453	29.52059777	0.124395524
"PRE"	3	"LO"	7	1	2017-07-05	0.024	0.252	45.48	2.26	0.129447007	1.359193578	245.3020791	12.1895932	115.21	9.37	475.7738707	38.69456791	230.4717916	26.50497471	512.159537	49.0832865	1.488640585
"24H"	3	"LO"	7	1	2017-07-12	0.041	0.11	42.06	2.649	0.203126825	0.544974409	208.3783968	13.12397464	86.32	8.059	362.0934122	33.80573226	153.7150154	20.68175763	341.588923	38.29955116	0.748101234
"1WK"	3	"LO"	7	1	2017-07-18	0.017	0.13	65.84	3.994	0.095373885	0.729329709	369.3774466	22.40725276	108.61	7.152	500.9598866	32.98835383	131.58244	10.58110107	292.4054223	19.59463161	0.824703594
"4WK"	3	"LO"	7	1	2017-08-08	0.125	0.046	18.59	1.601	0.699090169	0.257265182	103.9686899	8.953946882	52.28	5.77	230.1062237	25.39619186	126.1375338	16.44224498	280.3056306	30.44860181	0.956355351
"PRE"	3	"LO"	7	2	2017-07-05	0	0.38	136.75	3.235	0	1.996533589	718.4893902	16.99680568	83.65	5.946	352.4358894	25.05180871	0	8.055003023	0	14.91667227	1.97026341
"24H"	3	"LO"	7	2	2017-07-12	0.045	0.126	26.45	1.845	0.218063584	0.610578035	128.1729287	8.940606936	57.14	4.367	234.227841	17.90117223	106.0549123	8.960565298	235.6775828	16.59363944	0.828641619
"1WK"	3	"LO"	7	2	2017-07-18	0	0.178	38.01	2.581	0	0.89718599	191.5844915	13.00919686	49.79	3.286	213.7659783	14.1079535	22.1814868	1.098756641	49.2921929	2.03473452	0.882064878
"4WK"	3	"LO"	7	2	2017-08-08	0.215	0.025	19.78	1.489	1.13629745	0.13212761	104.5393654	7.869520479	53.17	6.189	224.3142033	26.11022389	119.7748379	18.24070341	266.1663064	33.77908039	1.26842506
"PRE"	3	"LO"	7	3	2017-07-05	0.001	0.249	44.7	1.875	0.005172799	1.288026899	231.2241059	9.698997732	92.35	7.148	368.4969112	28.52209985	137.2728053	18.82310212	305.0506784	34.85759652	1.293199698
"24H"	3	"LO"	7	3	2017-07-12	0.024	0.127	26.82	2.393	0.116744739	0.617774243	130.4622456	11.64042333	52.7	4.617	222.4826993	19.49151087	92.02045367	7.851087533	204.489897	14.53905099	0.734518982
"1WK"	3	"LO"	7	3	2017-07-18	0.017	0.229	33.96	2.48	0.085957681	1.157900531	171.7131092	12.5397088	68.95	4.88	287.7184312	20.36353799	116.0053219	7.823829185	257.7896043	14.48857256	1.243858212
"4WK"	3	"LO"	7	3	2017-08-08	0.186	0.019	17.37	1.419	0.993060795	0.101441694	92.73906458	7.576092841	49.13	6.025	208.9692308	25.62669683	116.2301662	18.05060399	258.2892582	33.42704443	1.094502489
"PRE"	3	"LO"	7	4	2017-07-05	0	0.369	100.85	2.537	0	1.950328745	533.0370026	13.4091708	103.01	6.667	427.3302697	27.65761487	0	14.24844407	0	26.38600754	1.918616082
"24H"	3	"LO"	7	4	2017-07-12	0.084	0.06	22.97	1.999	0.433893157	0.309923684	118.6491169	10.32562406	60.94	5.659	268.3443415	24.91894698	149.6952246	14.59332291	332.6560547	27.02467206	0.743816841
"1WK"	3	"LO"	7	4	2017-07-18	0.067	0.261	31.33	2.391	0.332779285	1.296349156	155.6115673	11.87575032	59.78	4.51	247.0085409	18.63513749	91.39697359	6.759387178	203.1043858	12.51738366	1.629128441
"4WK"	3	"LO"	7	4	2017-08-08	0.189	0.062	17.14	1.372	1.028049285	0.337243681	93.23155947	7.462876289	52.39	6.423	224.8058678	27.56113932	131.5743083	20.09826303	292.3873519	37.21900561	1.365292966
"PRE"	3	"LO"	7	5	2017-07-05	0.004	0.177	40.13	1.602	0.021199816	0.938091836	212.6871491	8.490526113	77.65	6.045	335.1314484	26.08975667	122.4442993	17.59923056	272.0984428	32.5911677	0.959291652
"24H"	3	"LO"	7	5	2017-07-12	0.143	0.054	22.32	1.91	0.768896232	0.290352423	120.012335	10.26987275	66.89	6.059	311.2338769	28.19204754	191.221542	17.92217479	424.9367599	33.18921258	1.059248655
"1WK"	3	"LO"	7	5	2017-07-18	0.006	0.098	33.43	1.712	0.029749959	0.485916005	165.7568576	8.488655108	59.78	3.678	247.3576675	15.21882739	81.60080989	6.730172278	181.3351331	12.463282	0.515665964
"4WK"	3	"LO"	7	5	2017-08-08	0.108	0.035	29.32	2.273	0.57582907	0.186611273	156.326929	12.11906923	63.1	7.938	273.7254531	34.43474876	117.398524	22.31567953	260.885609	41.32533247	0.762440343
"PRE"	3	"NO"	8	1	2017-07-05	0	0.196	76.51	2.194	0	1.04226307	406.8548341	11.66696518	121.31	7.356	497.3264044	30.15689581	90.4715703	18.48993063	201.047934	34.24061228	1.026310064
"24H"	3	"NO"	8	1	2017-07-12	0.021	0.096	30.2	2.283	0.105574563	0.482626573	151.8262762	11.4774632	55.51	5.264	241.9035757	22.93965812	90.07729943	11.46219492	200.1717765	21.22628689	0.588201136
"1WK"	3	"NO"	8	1	2017-07-18	0.027	0.123	70.04	4.027	0.133278475	0.607157499	345.7342375	19.87823778	110.01	7.366	455.5583901	30.50307337	109.8241527	10.62483559	244.0536726	19.67562146	0.740435974
"4WK"	3	"NO"	8	1	2017-08-08	0	0.037	67.69	1.38	0	0.201715499	369.0303275	7.52344293	57.89	5.682	253.5019524	24.8816392	0	17.35819627	0	32.14480792	0.201715499
"PRE"	3	"NO"	8	2	2017-07-05	0.012	0.205	52.02	2.418	0.062877518	1.074157594	272.5740392	12.66981981	102.01	7.722	47.34620942	3.584035184	0	0	0	0	1.137035112
"24H"	3	"NO"	8	2	2017-07-12	0.007	0.131	41.84	2.645	0.035912873	0.672083758	214.6563698	13.56993542	79.47	7.475	351.2021011	33.03429855	136.5457313	19.46436313	303.4349585	36.0451169	0.707996631
"1WK"	3	"NO"	8	2	2017-07-18	0.052	0.045	38.3	1.931	0.277369375	0.24003119	204.2932128	10.30000507	59.81	3.817	261.5478385	16.69165858	57.2546257	6.391653515	127.2325015	11.8363954	0.517400565
"4WK"	3	"NO"	8	2	2017-08-08	0.018	0.064	119.65	1.593	0.097222327	0.345679385	646.2584121	8.604175934	81.85	7.34	347.4033262	31.15382302	0	22.54964708	0	41.75860571	0.442901712
"PRE"	3	"NO"	8	3	2017-07-05	0	0.199	38.82	2.022	0	1.073958257	209.5028117	10.91227937	79.95	7.126	347.2571232	30.9512728	137.7543115	20.03899342	306.1206922	37.10924708	1.073958257
"24H"	3	"NO"	8	3	2017-07-12	0.075	0.109	27.68	2.083	0.367438325	0.534010366	135.6092379	10.20498708	56.04	5.593	240.6413611	24.01690101	105.0321233	13.81191393	233.4047183	25.57761839	0.901448691
"1WK"	3	"NO"	8	3	2017-07-18	0.001	0.148	484.75	2.521	0.004881621	0.72247985	2366.365591	12.30656556	72.69	3.399	297.8844758	13.92914202	0	1.622576455	0	3.004771212	0.727361471
"4WK"	3	"NO"	8	3	2017-08-08	0.146	0.05	22.05	1.752	0.804573769	0.275538962	121.5126822	9.654885222	54.07	6.237	237.1044552	27.35011072	115.591773	17.6952255	256.8706067	32.76893611	1.080112731
"PRE"	3	"NO"	8	4	2017-07-05	0.004	0.235	62.69	2.338	0.017874331	1.050116929	280.135448	10.4475463	71.66	6.623	250.0541785	23.11064505	0	12.66309875	0	23.45018288	1.06799126
"24H"	3	"NO"	8	4	2017-07-12	0.087	0.084	33.97	2.507	0.43201046	0.417113547	168.6827048	12.44885313	53.78	4.66	231.2484837	20.03752201	62.56577893	7.588668885	139.0350643	14.05309053	0.849124007
"1WK"	3	"NO"	8	4	2017-07-18	0	0.058	62.37	1.753	0	0.298611977	321.110845	9.025289582	65.14	3.771	280.3584145	16.23014401	0	7.204854432	0	13.34232302	0.293463495
"4WK"	3	"NO"	8	4	2017-08-08	0.382	0.033	9.15	1.089	2.035508958	0.175842397	48.75630095	5.802799097	57.79	5.72	243.5724819	24.10857582	194.8161809	18.30577672	432.9248465	33.89958652	2.211351355
"PRE"	3	"NO"	8	5	2017-07-05	0.054	0.231	19.87	1.349	0.346384101	1.481754211	127.4565203	8.653188014	81.59	6.548	394.8709617	31.69034266	267.4144415	23.03715464	594.2543143	42.66139749	1.828138312
"24H"	3	"NO"	8	5	2017-07-12	0.017	0.086	32.62	1.773	0.091622066	0.463499861	175.8065752	9.555642482	49.04	4.555	229.5920705	21.32528306	53.78549534	11.76964058	119.523323	21.7956307	0.555121927
"1WK"	3	"NO"	8	5	2017-07-18	0	0.144	32.37	1.692	0	0.760740281	171.0080756	8.938698299	61.59	4.334	270.2137343	19.01455308	99.20565869	10.07585479	220.4570193	18.65899034	0.755457362
"4WK"	3	"NO"	8	5	2017-08-08	0.221	0.022	12.14	1.094	1.342644428	0.133656911	73.75431382	6.646393684	41.97	5.251	213.8549778	26.75607549	140.1006639	20.1096818	311.3348087	37.24015149	1.476301339
"PRE"	3	"HI"	9	1	2017-07-05	0.04	0.22	53.66	3.327	0.212349034	1.167919689	284.8662296	17.66213093	84.34	7.639	344.4401104	31.19727298	59.57388081	13.53514205	132.3864018	25.06507787	1.380268723
"24H"	3	"HI"	9	1	2017-07-12	0.128	0.091	38.76	3.146	0.647466296	0.46030807	196.0608879	15.91350757	86.17	9.77	373.0748374	42.29942162	177.0139495	26.38591405	393.3643322	48.8628038	1.107774366
"1WK"	3	"HI"	9	1	2017-07-18	0.087	0.296	85.08	4.612	0.442065303	1.504038272	432.3093791	23.43454227	125.81	8.277	525.0067065	34.54002472	92.69732737	11.10548244	205.9940608	20.56570823	1.946103575
"4WK"	3	"HI"	9	1	2017-08-08	0.188	0.079	35.91	2.851	1.104849533	0.464271878	211.0380145	16.75492563	66.33	8.62	306.5262328	39.83500869	95.48821826	23.08008306	212.1960406	42.74089456	1.569121411
"PRE"	3	"HI"	9	2	2017-07-05	0	0.197	49.27	2.982	0	1.030130077	257.6371009	15.59313649	84.01	7.017	332.3509573	27.75986987	74.71385642	12.16673338	166.030792	22.53098774	1.02490099
"24H"	3	"HI"	9	2	2017-07-12	0.179	0.089	23.07	2.332	0.888246688	0.441642208	114.479615	11.5720183	47.35	5.536	204.6156683	23.92296389	90.13605335	12.35094559	200.3023408	22.87212145	1.329888896
"1WK"	3	"HI"	9	2	2017-07-18	0.026	0.146	59.83	1.801	0.131909457	0.740722334	303.5439537	9.1372666	59.17	3.418	256.4961405	14.81669441	0	5.679427807	0	10.5174589	0.872631791
"4WK"	3	"HI"	9	2	2017-08-08	0.167	0.06	22.98	1.694	0.903201972	0.324503703	124.2849181	9.161821206	51.03	6.185	221.1578695	26.80504454	96.87295138	17.64322333	215.2732253	32.6726358	1.227705675
"PRE"	3	"HI"	9	3	2017-07-05	0.013	0.177	39.71	2.432	0.067510234	0.919177804	206.2178	12.62960689	76.82	7.243	329.8499378	31.10001431	123.6321378	18.47040742	274.7380841	34.20445819	0.986688038
"24H"	3	"HI"	9	3	2017-07-12	0.006	0.151	269.45	2.527	0.030411191	0.765348319	1365.715924	12.80818015	85.98	5.74	369.3155712	24.65540101	0	11.84722086	0	21.93929789	0.79575951
"1WK"	3	"HI"	9	3	2017-07-18	0.047	0.281	51.72	3.144	0.233951321	1.39873024	257.4460072	15.64985009	71.9	5.7	302.5104645	23.98205352	45.06445732	8.332203426	100.1432385	15.43000634	1.632681561
"4WK"	3	"HI"	9	3	2017-08-08	0.174	0.045	16.64	1.377	0.910340454	0.235432876	87.05784568	7.204246004	43.89	5.686	182.7056577	23.66972818	95.64781201	16.46548217	212.5506933	30.49163365	1.14577333
"PRE"	3	"HI"	9	4	2017-07-05	0.035	0.22	42.78	3.003	0.18321071	1.151610176	223.9358332	15.7194789	74.35	7.035	325.7680293	30.82418408	101.8321961	15.10470518	226.2937691	27.97167626	1.334820886
"24H"	3	"HI"	9	4	2017-07-12	0.011	0.154	61.65	3.668	0.05706082	0.798851476	319.7999577	19.0271897	82.14	6.582	362.1589206	29.02033133	42.35896291	9.993141633	94.13102868	18.50581784	0.855912296
"1WK"	3	"HI"	9	4	2017-07-18	0.037	0.148	47.93	2.038	0.185368086	0.741472344	240.1268205	10.21027457	70.51	2.705	307.0636112	11.77998962	66.93679067	1.569715051	148.7484237	2.906879724	0.92684043
"4WK"	3	"HI"	9	4	2017-08-08	0.147	0.067	18.64	1.378	0.780376675	0.355681886	98.95388586	7.315367742	43.31	6.661	180.4972699	27.76015504	81.54338406	20.4447873	181.2075201	37.86071722	1.136058561
"PRE"	3	"HI"	9	5	2017-07-05	0.014	0.137	31.64	2.106	0.083389115	0.816022052	188.4593994	12.54410541	53.85	5.484	269.3769933	27.4329328	80.91759391	14.88882739	179.8168753	27.57190258	0.899411167
"24H"	3	"HI"	9	5	2017-07-12	0.004	0.162	28.55	2.539	0.022787261	0.922884076	162.6440764	14.46421401	59	5.692	292.9319588	28.2604866	130.2878823	13.79627259	289.5286274	25.54865294	0.945671337
"1WK"	3	"HI"	9	5	2017-07-18	0.001	0.165	38.37	1.417	0.005041956	0.831922693	193.4598408	7.14445125	53.25	3.27	225.2203133	13.83043051	31.76047249	6.685979258	70.57882775	12.38144307	0.836964649
"4WK"	3	"HI"	9	5	2017-08-08	0.15	0.027	21.3	1.35	0.807257257	0.145306306	114.6305305	7.265315315	45.69	5.597	196.2762789	24.04373677	81.64574841	16.77842146	181.4349965	31.07115085	0.952563563
