"Observed"	"Chao1"	"se.chao1"	"ACE"	"se.ACE"	"Shannon"	"Simpson"	"InvSimpson"	"Fisher"	"ID"	"GrazeTime"	"Treatment"	"Year"	"seq"
963	1056.27922077922	18.850837694309	1059.07393456084	14.2736272712726	6.01487538726328	0.991683072553738	120.236710787875	282.915985254725	"1WK_1_B"	"1WK"	"NO"	"2017"	"16S"
679	698.217391304348	7.31160532609733	698.770175154232	12.6343444620516	5.95957721021421	0.99531234548955	213.326301622872	175.518242658784	"1WK_1_R"	"1WK"	"NO"	"2017"	"16S"
804	850.2	12.3877224634449	848.471063099411	13.1606371084681	6.04042857128423	0.99574482884898	235.008173469211	220.543772554301	"1WK_2_B"	"1WK"	"LO"	"2017"	"16S"
830	878.5	13.0099596975779	876.116616431007	13.7135776007621	6.18156575643928	0.996814128885035	313.885893030223	230.351859083556	"1WK_2_R"	"1WK"	"LO"	"2017"	"16S"
825	872.974137931035	12.4628144286866	876.77341558054	13.4172630213805	6.09736798925179	0.996179587503483	261.751839863253	228.453843334642	"1WK_3_B"	"1WK"	"HI"	"2017"	"16S"
873	939.838709677419	16.5936170579405	926.519178430582	14.0087469408735	6.25850417528316	0.99711429053884	346.53523282902	246.907897454714	"1WK_3_R"	"1WK"	"HI"	"2017"	"16S"
814	870.483870967742	14.6811752296817	860.593702422074	13.35124189671	6.09249961047343	0.996042715207713	252.698517415053	224.298065744687	"1WK_4_B"	"1WK"	"NO"	"2017"	"16S"
637	665.557692307692	10.2153523903201	658.111300274258	12.354881612259	5.89895415656348	0.995392601352096	217.042213279033	161.182507272356	"1WK_4_R"	"1WK"	"NO"	"2017"	"16S"
747	776.379310344828	9.37101607949334	776.341275438599	12.8135559708206	5.95837676512706	0.994705107648864	188.861252256702	199.57487022653	"1WK_5_B"	"1WK"	"LO"	"2017"	"16S"
758	806.176470588235	13.353529604439	799.021687425618	13.0993276256253	5.97068169865661	0.995007603696314	200.304611086614	203.56445571543	"1WK_5_R"	"1WK"	"LO"	"2017"	"16S"
783	840.386363636364	15.0370553899471	831.137960894484	13.3364520668523	6.07083521080099	0.996121966394512	257.862644249635	212.733160545637	"1WK_6_B"	"1WK"	"HI"	"2017"	"16S"
692	722.089552238806	10.0442972688717	717.934262626451	12.8122699061771	6.00075695804831	0.996074480690863	254.743365463147	180.036520748746	"1WK_6_R"	"1WK"	"HI"	"2017"	"16S"
800	863.965517241379	16.319500322192	849.662828682893	13.2459390133607	6.00641071767571	0.995136615881834	205.618140723211	219.048370249671	"1WK_7_B"	"1WK"	"LO"	"2017"	"16S"
724	768.507042253521	13.1268216471997	760.357528518449	13.05511944296	5.99370035172939	0.995563218933221	225.388628591028	191.321205864428	"1WK_7_R"	"1WK"	"LO"	"2017"	"16S"
842	897.509259259259	14.0303616509202	893.361225616087	13.4458834894095	6.10101304492157	0.995962518443741	247.679150001281	234.930119819939	"1WK_8_B"	"1WK"	"NO"	"2017"	"16S"
566	591.603448275862	9.23427685542997	591.7338404574	11.9157648664124	5.77534440444583	0.995407612389715	217.751654446657	137.86256959569	"1WK_8_R"	"1WK"	"NO"	"2017"	"16S"
907	975.12	15.7393182180097	970.52016993655	13.7116097793491	6.10304865134822	0.994678749685171	187.925758202582	260.294798762455	"1WK_9_B"	"1WK"	"HI"	"2017"	"16S"
599	616.518518518518	7.18666667885427	614.756516676294	11.8955921438132	5.80226743395127	0.994872208864878	195.015743357911	148.557913622029	"1WK_9_R"	"1WK"	"HI"	"2017"	"16S"
687	707.823529411765	7.43400378251707	711.527057045316	12.5830490829912	5.87934313764047	0.994391176027479	178.290494567007	178.294195963903	"24H_1_B"	"24H"	"NO"	"2017"	"16S"
814	843.2	9.27033028313457	842.871921181367	13.5141871243415	6.18426943860904	0.99637260344389	275.679811824125	224.298065744687	"24H_1_R"	"24H"	"NO"	"2017"	"16S"
720	752.542168674699	10.1575660106561	752.275088850755	12.7025352598767	5.92575005506106	0.994943068054268	197.748360217488	189.897971736456	"24H_2_B"	"24H"	"LO"	"2017"	"16S"
794	828.125	10.3780421103827	824.974135894309	13.1138715849971	6.12363824791784	0.99632600421884	272.183219460407	216.812031886786	"24H_2_R"	"24H"	"LO"	"2017"	"16S"
712	756.652173913043	13.2430538603472	744.912223045493	12.8070221379111	5.95928731786297	0.995434059001267	219.012904520141	187.062340879234	"24H_3_B"	"24H"	"HI"	"2017"	"16S"
753	792.583333333333	12.0253803851845	781.719573661094	12.9226822842888	6.08543635948918	0.996370741838831	275.538403605261	201.747625140672	"24H_3_R"	"24H"	"HI"	"2017"	"16S"
943	1023.93023255814	17.6987714463048	1016.20448664344	13.9747126470111	6.15213406142655	0.995665282169315	230.695523690391	274.755063205946	"24H_4_B"	"24H"	"NO"	"2017"	"16S"
886	935.24778761062	12.7638690560428	933.976028752099	13.8336307943639	6.24586153789829	0.996873493401918	319.845798698568	251.995497496798	"24H_4_R"	"24H"	"NO"	"2017"	"16S"
891	954.050420168067	15.0504681133499	951.65704948241	13.8132841232819	6.16508513391278	0.995987960379548	249.249781807335	253.962456183888	"24H_5_B"	"24H"	"LO"	"2017"	"16S"
729	753.797101449275	8.71713268666273	750.0036685047	12.9009988825339	6.08523559428644	0.996496503602819	285.429150378064	193.10532715562	"24H_5_R"	"24H"	"LO"	"2017"	"16S"
837	899.086956521739	14.996305786342	899.574735367097	13.773153428183	6.02472207724706	0.994700675255866	188.703287358821	233.018561149775	"24H_6_B"	"24H"	"HI"	"2017"	"16S"
