"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"ammonium.ppm"	"gravimetric.moisture"	"bd"	"ph"
"4"	"2"	"NO"	"1WK"	"5"	0.171	8.97	NA	NA
"4"	"2"	"NO"	"4WK"	"5"	0.01	22.35	1.22511047569535	7.41
"5"	"2"	"LO"	"PRE"	"1"	0.25	5.66	1.1117723156533	7.52
"5"	"2"	"LO"	"24H"	"1"	0.186	9.98	NA	NA
"5"	"2"	"LO"	"1WK"	"1"	0.185	7.55	NA	NA
"5"	"2"	"LO"	"4WK"	"1"	0.049	16.99	1.27197087883515	7.27
"5"	"2"	"LO"	"PRE"	"2"	0.239	4.99	1.26325411334552	7.43
"5"	"2"	"LO"	"24H"	"2"	0.152	7.98	NA	NA
"5"	"2"	"LO"	"1WK"	"2"	0.096	6.8	NA	NA
"5"	"2"	"LO"	"4WK"	"2"	0.032	14.68	1.14111226611227	7.25
"5"	"2"	"LO"	"PRE"	"3"	0.088	6.03	1.24392764857881	7.49
"5"	"2"	"LO"	"24H"	"3"	0.118	6.8	NA	NA
"5"	"2"	"LO"	"1WK"	"3"	0.185	6.47	NA	NA
"5"	"2"	"LO"	"4WK"	"3"	0.069	18.64	1.19302325581395	7.28
"5"	"2"	"LO"	"PRE"	"4"	0.245	8.09	1.18373180873181	7.43
"5"	"2"	"LO"	"24H"	"4"	0.103	7.87	NA	NA
"5"	"2"	"LO"	"1WK"	"4"	0.164	8.02	NA	NA
"5"	"2"	"LO"	"4WK"	"4"	0.078	14.4	1.21990075737791	7.41
"5"	"2"	"LO"	"PRE"	"5"	0.174	4.74	0.995839833593344	7.49
"5"	"2"	"LO"	"24H"	"5"	0.154	8.72	NA	NA
"5"	"2"	"LO"	"1WK"	"5"	0.062	8.66	NA	NA
"5"	"2"	"LO"	"4WK"	"5"	0.089	19.59	0.985769728331177	7.28
"6"	"2"	"HI"	"PRE"	"1"	0.208	4.83	1.05796724720561	6.81
"6"	"2"	"HI"	"24H"	"1"	0.114	13.28	NA	NA
"6"	"2"	"HI"	"1WK"	"1"	0.097	8.84	NA	NA
"6"	"2"	"HI"	"4WK"	"1"	0.034	22.3	1.01786176546725	7.04
"6"	"2"	"HI"	"PRE"	"2"	0.174	2.41	1.21630745260971	7.34
"6"	"2"	"HI"	"24H"	"2"	0.151	7.36	NA	NA
"6"	"2"	"HI"	"1WK"	"2"	0.162	9.46	NA	NA
"6"	"2"	"HI"	"4WK"	"2"	0.085	16.99	1.12221646815122	7.39
"6"	"2"	"HI"	"PRE"	"3"	0.223	3.15	1.10913838120104	7.32
