"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Substrate"	"Enzyme_nm_g_hr"
"98"	1	1	"NO"	"24H"	3	"LAP"	366.8553935
"99"	1	1	"NO"	"1WK"	3	"LAP"	693.5866223
"100"	1	1	"NO"	"4WK"	3	"LAP"	612.1921877
"101"	1	1	"NO"	"PRE"	3	"NAG"	6.128421149
"102"	1	1	"NO"	"24H"	3	"NAG"	6.465746996
"103"	1	1	"NO"	"1WK"	3	"NAG"	44.16747763
"104"	1	1	"NO"	"4WK"	3	"NAG"	18.93433594
"105"	1	1	"NO"	"PRE"	3	"PER1"	4.011550871
"106"	1	1	"NO"	"24H"	3	"PER1"	3.836064722
"107"	1	1	"NO"	"1WK"	3	"PER1"	2.530583082
"108"	1	1	"NO"	"4WK"	3	"PER1"	0
"109"	1	1	"NO"	"PRE"	3	"PEROX"	8.45665665
"110"	1	1	"NO"	"24H"	3	"PEROX"	8.088311559
"111"	1	1	"NO"	"1WK"	3	"PEROX"	1.694471195
"112"	1	1	"NO"	"4WK"	3	"PEROX"	1.328721388
"113"	1	1	"NO"	"PRE"	3	"PHENOX"	4.445105779
"114"	1	1	"NO"	"24H"	3	"PHENOX"	4.252246837
"115"	1	1	"NO"	"1WK"	3	"PHENOX"	0
"116"	1	1	"NO"	"4WK"	3	"PHENOX"	4.004654183
"117"	1	1	"NO"	"PRE"	3	"PHOS"	306.2179116
"118"	1	1	"NO"	"24H"	3	"PHOS"	0
"119"	1	1	"NO"	"1WK"	3	"PHOS"	276.5887108
"120"	1	1	"NO"	"4WK"	3	"PHOS"	0
"121"	1	1	"NO"	"PRE"	4	"AG"	2.899641968
"122"	1	1	"NO"	"24H"	4	"AG"	0
"123"	1	1	"NO"	"1WK"	4	"AG"	3.978307313
"124"	1	1	"NO"	"4WK"	4	"AG"	15.49745434
"125"	1	1	"NO"	"PRE"	4	"BG"	258.6911137
"126"	1	1	"NO"	"24H"	4	"BG"	255.8489317
"127"	1	1	"NO"	"1WK"	4	"BG"	292.5733198
"128"	1	1	"NO"	"4WK"	4	"BG"	528.2354786
"129"	1	1	"NO"	"PRE"	4	"BX"	14.92307641
"130"	1	1	"NO"	"24H"	4	"BX"	11.13709725
"131"	1	1	"NO"	"1WK"	4	"BX"	25.4296758
"132"	1	1	"NO"	"4WK"	4	"BX"	81.86259789
"133"	1	1	"NO"	"PRE"	4	"CBH"	18.15376403
"134"	1	1	"NO"	"24H"	4	"CBH"	15.84064478
"135"	1	1	"NO"	"1WK"	4	"CBH"	6.675317833
"136"	1	1	"NO"	"4WK"	4	"CBH"	52.92444787
"137"	1	1	"NO"	"PRE"	4	"LAP"	516.1984127
"138"	1	1	"NO"	"24H"	4	"LAP"	498.8572996
"139"	1	1	"NO"	"1WK"	4	"LAP"	630.4340167
"140"	1	1	"NO"	"4WK"	4	"LAP"	772.9318171
"141"	1	1	"NO"	"PRE"	4	"NAG"	5.424627451
"142"	1	1	"NO"	"24H"	4	"NAG"	5.117580911
"143"	1	1	"NO"	"1WK"	4	"NAG"	29.14851387
"144"	1	1	"NO"	"4WK"	4	"NAG"	20.62650068
"145"	1	1	"NO"	"PRE"	4	"PER1"	0
"146"	1	1	"NO"	"24H"	4	"PER1"	8.010015922
"147"	1	1	"NO"	"1WK"	4	"PER1"	0
"148"	1	1	"NO"	"4WK"	4	"PER1"	0
"149"	1	1	"NO"	"PRE"	4	"PEROX"	4.625308055
"150"	1	1	"NO"	"24H"	4	"PEROX"	10.56937527
"151"	1	1	"NO"	"1WK"	4	"PEROX"	3.597927858
"152"	1	1	"NO"	"4WK"	4	"PEROX"	5.901090852
"153"	1	1	"NO"	"PRE"	4	"PHENOX"	6.358744233
"154"	1	1	"NO"	"24H"	4	"PHENOX"	2.55935935
"155"	1	1	"NO"	"1WK"	4	"PHENOX"	5.307883155
"156"	1	1	"NO"	"4WK"	4	"PHENOX"	7.052763053
"157"	1	1	"NO"	"PRE"	4	"PHOS"	135.2342521
"158"	1	1	"NO"	"24H"	4	"PHOS"	0
"159"	1	1	"NO"	"1WK"	4	"PHOS"	136.2569579
"160"	1	1	"NO"	"4WK"	4	"PHOS"	0
"161"	1	1	"NO"	"PRE"	5	"AG"	16.16095351
"162"	1	1	"NO"	"24H"	5	"AG"	38.42194099
"163"	1	1	"NO"	"1WK"	5	"AG"	53.18297931
"164"	1	1	"NO"	"4WK"	5	"AG"	27.38696241
"165"	1	1	"NO"	"PRE"	5	"BG"	226.3613949
"166"	1	1	"NO"	"24H"	5	"BG"	431.6000069
"167"	1	1	"NO"	"1WK"	5	"BG"	574.0702355
"168"	1	1	"NO"	"4WK"	5	"BG"	612.8563059
"169"	1	1	"NO"	"PRE"	5	"BX"	39.40244407
"170"	1	1	"NO"	"24H"	5	"BX"	95.72806616
"171"	1	1	"NO"	"1WK"	5	"BX"	109.5580452
"172"	1	1	"NO"	"4WK"	5	"BX"	62.09011697
"173"	1	1	"NO"	"PRE"	5	"CBH"	15.80312248
"174"	1	1	"NO"	"24H"	5	"CBH"	47.94952788
"175"	1	1	"NO"	"1WK"	5	"CBH"	53.80589832
"176"	1	1	"NO"	"4WK"	5	"CBH"	62.74408599
"177"	1	1	"NO"	"PRE"	5	"LAP"	500.4843364
"178"	1	1	"NO"	"24H"	5	"LAP"	575.2946571
"179"	1	1	"NO"	"1WK"	5	"LAP"	750.1596288
"180"	1	1	"NO"	"4WK"	5	"LAP"	671.3698359
"181"	1	1	"NO"	"PRE"	5	"NAG"	6.55096674
"182"	1	1	"NO"	"24H"	5	"NAG"	13.07417155
"183"	1	1	"NO"	"1WK"	5	"NAG"	184.2167822
"184"	1	1	"NO"	"4WK"	5	"NAG"	9.000834646
"185"	1	1	"NO"	"PRE"	5	"PER1"	6.225115322
"186"	1	1	"NO"	"24H"	5	"PER1"	2.128054898
"187"	1	1	"NO"	"1WK"	5	"PER1"	1.311793567
"188"	1	1	"NO"	"4WK"	5	"PER1"	4.19111772
"189"	1	1	"NO"	"PRE"	5	"PEROX"	8.91831036
"190"	1	1	"NO"	"24H"	5	"PEROX"	7.651470178
"191"	1	1	"NO"	"1WK"	5	"PEROX"	3.442797807
"192"	1	1	"NO"	"4WK"	5	"PEROX"	10.11411865
"193"	1	1	"NO"	"PRE"	5	"PHENOX"	2.693195038
"194"	1	1	"NO"	"24H"	5	"PHENOX"	5.52341528
"195"	1	1	"NO"	"1WK"	5	"PHENOX"	2.131004241
"196"	1	1	"NO"	"4WK"	5	"PHENOX"	5.923000927
"197"	1	1	"NO"	"PRE"	5	"PHOS"	171.9697236
"198"	1	1	"NO"	"24H"	5	"PHOS"	35.1574106
"199"	1	1	"NO"	"1WK"	5	"PHOS"	361.0465621
"200"	1	1	"NO"	"4WK"	5	"PHOS"	0
"201"	2	1	"LO"	"PRE"	1	"AG"	0
"202"	2	1	"LO"	"24H"	1	"AG"	13.30049826
"203"	2	1	"LO"	"1WK"	1	"AG"	55.45698127
"204"	2	1	"LO"	"4WK"	1	"AG"	28.50214223
"205"	2	1	"LO"	"PRE"	1	"BG"	262.6558716
"206"	2	1	"LO"	"24H"	1	"BG"	408.2923941
"207"	2	1	"LO"	"1WK"	1	"BG"	624.2825015
"208"	2	1	"LO"	"4WK"	1	"BG"	731.8732178
"209"	2	1	"LO"	"PRE"	1	"BX"	17.43730867
"210"	2	1	"LO"	"24H"	1	"BX"	83.92102732
"211"	2	1	"LO"	"1WK"	1	"BX"	98.16760947
"212"	2	1	"LO"	"4WK"	1	"BX"	106.9929525
"213"	2	1	"LO"	"PRE"	1	"CBH"	10.78937063
"214"	2	1	"LO"	"24H"	1	"CBH"	35.12116625
"215"	2	1	"LO"	"1WK"	1	"CBH"	74.71134585
"216"	2	1	"LO"	"4WK"	1	"CBH"	74.07683426
"217"	2	1	"LO"	"PRE"	1	"LAP"	406.7934884
"218"	2	1	"LO"	"24H"	1	"LAP"	511.3419604
"219"	2	1	"LO"	"1WK"	1	"LAP"	777.8341482
"220"	2	1	"LO"	"4WK"	1	"LAP"	826.1505626
"221"	2	1	"LO"	"PRE"	1	"NAG"	0
"222"	2	1	"LO"	"24H"	1	"NAG"	4.363528788
"223"	2	1	"LO"	"1WK"	1	"NAG"	177.3169392
"224"	2	1	"LO"	"4WK"	1	"NAG"	44.04135026
"225"	2	1	"LO"	"PRE"	1	"PER1"	4.979316285
"226"	2	1	"LO"	"24H"	1	"PER1"	3.480749039
"227"	2	1	"LO"	"1WK"	1	"PER1"	5.149545351
"228"	2	1	"LO"	"4WK"	1	"PER1"	0.73108155
"229"	2	1	"LO"	"PRE"	1	"PEROX"	13.17226852
"230"	2	1	"LO"	"24H"	1	"PEROX"	8.525495031
"231"	2	1	"LO"	"1WK"	1	"PEROX"	7.663738208
"232"	2	1	"LO"	"4WK"	1	"PEROX"	9.592954302
"233"	2	1	"LO"	"PRE"	1	"PHENOX"	8.192952231
"234"	2	1	"LO"	"24H"	1	"PHENOX"	5.044745991
"235"	2	1	"LO"	"1WK"	1	"PHENOX"	2.514192857
"236"	2	1	"LO"	"4WK"	1	"PHENOX"	8.861872752
"237"	2	1	"LO"	"PRE"	1	"PHOS"	260.2496201
"238"	2	1	"LO"	"24H"	1	"PHOS"	8.384816705
"239"	2	1	"LO"	"1WK"	1	"PHOS"	361.0839542
"240"	2	1	"LO"	"4WK"	1	"PHOS"	63.15315827
"241"	2	1	"LO"	"PRE"	2	"AG"	52.55323178
"242"	2	1	"LO"	"24H"	2	"AG"	10.96926209
"243"	2	1	"LO"	"1WK"	2	"AG"	7.539419931
"244"	2	1	"LO"	"4WK"	2	"AG"	0
"245"	2	1	"LO"	"PRE"	2	"BG"	659.2120561
"246"	2	1	"LO"	"24H"	2	"BG"	499.4824042
"247"	2	1	"LO"	"1WK"	2	"BG"	319.2899581
"248"	2	1	"LO"	"4WK"	2	"BG"	280.9733632
"249"	2	1	"LO"	"PRE"	2	"BX"	146.3997722
"250"	2	1	"LO"	"24H"	2	"BX"	50.07289326
"251"	2	1	"LO"	"1WK"	2	"BX"	45.52032151
"252"	2	1	"LO"	"4WK"	2	"BX"	38.31965
"253"	2	1	"LO"	"PRE"	2	"CBH"	98.70131301
"254"	2	1	"LO"	"24H"	2	"CBH"	29.70402223
"255"	2	1	"LO"	"1WK"	2	"CBH"	17.27251005
"256"	2	1	"LO"	"4WK"	2	"CBH"	25.20975415
"257"	2	1	"LO"	"PRE"	2	"LAP"	796.7853619
"258"	2	1	"LO"	"24H"	2	"LAP"	517.9283506
"259"	2	1	"LO"	"1WK"	2	"LAP"	431.4069969
"260"	2	1	"LO"	"4WK"	2	"LAP"	398.517859
"261"	2	1	"LO"	"PRE"	2	"NAG"	93.8077297
"262"	2	1	"LO"	"24H"	2	"NAG"	22.12846801
"263"	2	1	"LO"	"1WK"	2	"NAG"	27.42807678
"264"	2	1	"LO"	"4WK"	2	"NAG"	1.122207604
"265"	2	1	"LO"	"PRE"	2	"PER1"	9.75428498
"266"	2	1	"LO"	"24H"	2	"PER1"	11.82130337
"267"	2	1	"LO"	"1WK"	2	"PER1"	0
"268"	2	1	"LO"	"4WK"	2	"PER1"	4.251410743
"269"	2	1	"LO"	"PRE"	2	"PEROX"	12.46944493
"270"	2	1	"LO"	"24H"	2	"PEROX"	12.87792113
"271"	2	1	"LO"	"1WK"	2	"PEROX"	4.069332566
"272"	2	1	"LO"	"4WK"	2	"PEROX"	10.85491185
"273"	2	1	"LO"	"PRE"	2	"PHENOX"	2.715159953
"274"	2	1	"LO"	"24H"	2	"PHENOX"	1.056617764
"275"	2	1	"LO"	"1WK"	2	"PHENOX"	6.484874164
"276"	2	1	"LO"	"4WK"	2	"PHENOX"	6.603501105
"277"	2	1	"LO"	"PRE"	2	"PHOS"	421.1522178
"278"	2	1	"LO"	"24H"	2	"PHOS"	0
"279"	2	1	"LO"	"1WK"	2	"PHOS"	144.6804568
"280"	2	1	"LO"	"4WK"	2	"PHOS"	0
"281"	2	1	"LO"	"PRE"	3	"AG"	34.70936827
"282"	2	1	"LO"	"24H"	3	"AG"	21.22233846
"283"	2	1	"LO"	"1WK"	3	"AG"	7.749072466
"284"	2	1	"LO"	"4WK"	3	"AG"	20.20412523
"285"	2	1	"LO"	"PRE"	3	"BG"	324.0762042
"286"	2	1	"LO"	"24H"	3	"BG"	508.7928781
"287"	2	1	"LO"	"1WK"	3	"BG"	340.0198384
"288"	2	1	"LO"	"4WK"	3	"BG"	408.0554156
"289"	2	1	"LO"	"PRE"	3	"BX"	53.67192284
"290"	2	1	"LO"	"24H"	3	"BX"	74.3092836
"291"	2	1	"LO"	"1WK"	3	"BX"	15.55328349
"292"	2	1	"LO"	"4WK"	3	"BX"	79.15992486
"293"	2	1	"LO"	"PRE"	3	"CBH"	22.43856136
"294"	2	1	"LO"	"24H"	3	"CBH"	40.31942939
"295"	2	1	"LO"	"1WK"	3	"CBH"	12.02876065
"296"	2	1	"LO"	"4WK"	3	"CBH"	53.14804912
"297"	2	1	"LO"	"PRE"	3	"LAP"	529.7270592
"298"	2	1	"LO"	"24H"	3	"LAP"	630.8162283
"299"	2	1	"LO"	"1WK"	3	"LAP"	493.5929326
"300"	2	1	"LO"	"4WK"	3	"LAP"	546.4262555
"301"	2	1	"LO"	"PRE"	3	"NAG"	22.63325263
"302"	2	1	"LO"	"24H"	3	"NAG"	9.474333643
"303"	2	1	"LO"	"1WK"	3	"NAG"	14.90017848
"304"	2	1	"LO"	"4WK"	3	"NAG"	14.64841177
"305"	2	1	"LO"	"PRE"	3	"PER1"	5.011918616
"306"	2	1	"LO"	"24H"	3	"PER1"	9.902991918
"307"	2	1	"LO"	"1WK"	3	"PER1"	4.027096407
"308"	2	1	"LO"	"4WK"	3	"PER1"	7.560979145
"309"	2	1	"LO"	"PRE"	3	"PEROX"	9.609951558
"310"	2	1	"LO"	"24H"	3	"PEROX"	12.6369863
"311"	2	1	"LO"	"1WK"	3	"PEROX"	11.44171887
"312"	2	1	"LO"	"4WK"	3	"PEROX"	9.561495808
"313"	2	1	"LO"	"PRE"	3	"PHENOX"	4.598032943
"314"	2	1	"LO"	"24H"	3	"PHENOX"	2.733994383
"315"	2	1	"LO"	"1WK"	3	"PHENOX"	7.414622468
"316"	2	1	"LO"	"4WK"	3	"PHENOX"	2.000516662
"317"	2	1	"LO"	"PRE"	3	"PHOS"	218.7877082
"318"	2	1	"LO"	"24H"	3	"PHOS"	5.351363922
"319"	2	1	"LO"	"1WK"	3	"PHOS"	63.42447173
"320"	2	1	"LO"	"4WK"	3	"PHOS"	0
"321"	2	1	"LO"	"PRE"	4	"AG"	10.57894932
"322"	2	1	"LO"	"24H"	4	"AG"	17.30430663
"323"	2	1	"LO"	"1WK"	4	"AG"	23.14804861
"324"	2	1	"LO"	"4WK"	4	"AG"	0
"325"	2	1	"LO"	"PRE"	4	"BG"	244.0183362
"326"	2	1	"LO"	"24H"	4	"BG"	470.2328458
"327"	2	1	"LO"	"1WK"	4	"BG"	357.3682241
"328"	2	1	"LO"	"4WK"	4	"BG"	324.7382773
"329"	2	1	"LO"	"PRE"	4	"BX"	37.95024642
"330"	2	1	"LO"	"24H"	4	"BX"	56.0873589
"331"	2	1	"LO"	"1WK"	4	"BX"	57.60101369
"332"	2	1	"LO"	"4WK"	4	"BX"	39.30966645
"333"	2	1	"LO"	"PRE"	4	"CBH"	8.731943649
"334"	2	1	"LO"	"24H"	4	"CBH"	27.88502138
"335"	2	1	"LO"	"1WK"	4	"CBH"	27.61709444
"336"	2	1	"LO"	"4WK"	4	"CBH"	29.6494019
"337"	2	1	"LO"	"PRE"	4	"LAP"	471.7429826
"338"	2	1	"LO"	"24H"	4	"LAP"	539.6522935
"339"	2	1	"LO"	"1WK"	4	"LAP"	514.9809433
"340"	2	1	"LO"	"4WK"	4	"LAP"	543.7804212
"341"	2	1	"LO"	"PRE"	4	"NAG"	15.7708473
"342"	2	1	"LO"	"24H"	4	"NAG"	5.085384708
"343"	2	1	"LO"	"1WK"	4	"NAG"	25.12785129
"344"	2	1	"LO"	"4WK"	4	"NAG"	10.77360562
"345"	2	1	"LO"	"PRE"	4	"PER1"	7.898797055
"346"	2	1	"LO"	"24H"	4	"PER1"	6.724948036
"347"	2	1	"LO"	"1WK"	4	"PER1"	1.70011556
"348"	2	1	"LO"	"4WK"	4	"PER1"	0.814231204
"349"	2	1	"LO"	"PRE"	4	"PEROX"	12.47571583
"350"	2	1	"LO"	"24H"	4	"PEROX"	8.462342153
"351"	2	1	"LO"	"1WK"	4	"PEROX"	9.988537825
"352"	2	1	"LO"	"4WK"	4	"PEROX"	5.658931491
"353"	2	1	"LO"	"PRE"	4	"PHENOX"	4.576918775
"354"	2	1	"LO"	"24H"	4	"PHENOX"	1.737394117
"355"	2	1	"LO"	"1WK"	4	"PHENOX"	8.288422265
"356"	2	1	"LO"	"4WK"	4	"PHENOX"	4.844700287
"357"	2	1	"LO"	"PRE"	4	"PHOS"	72.95117071
"358"	2	1	"LO"	"24H"	4	"PHOS"	0.110298672
"359"	2	1	"LO"	"1WK"	4	"PHOS"	139.3825396
"360"	2	1	"LO"	"4WK"	4	"PHOS"	0
"361"	2	1	"LO"	"PRE"	5	"AG"	22.98105701
"362"	2	1	"LO"	"24H"	5	"AG"	22.02943861
"363"	2	1	"LO"	"1WK"	5	"AG"	56.20260806
"364"	2	1	"LO"	"4WK"	5	"AG"	0
"365"	2	1	"LO"	"PRE"	5	"BG"	321.2214462
"366"	2	1	"LO"	"24H"	5	"BG"	381.5082801
"367"	2	1	"LO"	"1WK"	5	"BG"	576.1115733
"368"	2	1	"LO"	"4WK"	5	"BG"	354.4536854
"369"	2	1	"LO"	"PRE"	5	"BX"	55.35671431
"370"	2	1	"LO"	"24H"	5	"BX"	52.68241234
"371"	2	1	"LO"	"1WK"	5	"BX"	102.6601917
"372"	2	1	"LO"	"4WK"	5	"BX"	76.06079079
"373"	2	1	"LO"	"PRE"	5	"CBH"	49.37410805
"374"	2	1	"LO"	"24H"	5	"CBH"	30.02695982
"375"	2	1	"LO"	"1WK"	5	"CBH"	54.66475135
"376"	2	1	"LO"	"4WK"	5	"CBH"	47.12440437
"377"	2	1	"LO"	"PRE"	5	"LAP"	597.9584817
"378"	2	1	"LO"	"24H"	5	"LAP"	459.8983497
"379"	2	1	"LO"	"1WK"	5	"LAP"	301.6324053
"380"	2	1	"LO"	"4WK"	5	"LAP"	701.1843168
