"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Substrate"	"Enzyme_nm_g_hr"
"1"	"1"	"NO"	"4WK"	"3"	"BX"	79.46110554
"1"	"1"	"NO"	"PRE"	"3"	"CBH"	9.539934326
"1"	"1"	"NO"	"24H"	"3"	"CBH"	19.0579413
"1"	"1"	"NO"	"1WK"	"3"	"CBH"	45.97866474
"1"	"1"	"NO"	"4WK"	"3"	"CBH"	52.97685873
"1"	"1"	"NO"	"PRE"	"3"	"LAP"	471.1939363
"1"	"1"	"NO"	"24H"	"3"	"LAP"	366.8553935
"1"	"1"	"NO"	"1WK"	"3"	"LAP"	693.5866223
"1"	"1"	"NO"	"4WK"	"3"	"LAP"	612.1921877
"1"	"1"	"NO"	"PRE"	"3"	"NAG"	6.128421149
"1"	"1"	"NO"	"24H"	"3"	"NAG"	6.465746996
"1"	"1"	"NO"	"1WK"	"3"	"NAG"	44.16747763
"1"	"1"	"NO"	"4WK"	"3"	"NAG"	18.93433594
"1"	"1"	"NO"	"PRE"	"3"	"PER1"	4.011550871
"1"	"1"	"NO"	"24H"	"3"	"PER1"	3.836064722
"1"	"1"	"NO"	"1WK"	"3"	"PER1"	2.530583082
"1"	"1"	"NO"	"4WK"	"3"	"PER1"	0
"1"	"1"	"NO"	"PRE"	"3"	"PEROX"	8.45665665
"1"	"1"	"NO"	"24H"	"3"	"PEROX"	8.088311559
"1"	"1"	"NO"	"1WK"	"3"	"PEROX"	1.694471195
"1"	"1"	"NO"	"4WK"	"3"	"PEROX"	1.328721388
"1"	"1"	"NO"	"PRE"	"3"	"PHENOX"	4.445105779
"1"	"1"	"NO"	"24H"	"3"	"PHENOX"	4.252246837
"1"	"1"	"NO"	"1WK"	"3"	"PHENOX"	0
"1"	"1"	"NO"	"4WK"	"3"	"PHENOX"	4.004654183
"1"	"1"	"NO"	"PRE"	"3"	"PHOS"	306.2179116
"1"	"1"	"NO"	"24H"	"3"	"PHOS"	0
"1"	"1"	"NO"	"1WK"	"3"	"PHOS"	276.5887108
"1"	"1"	"NO"	"4WK"	"3"	"PHOS"	0
"1"	"1"	"NO"	"PRE"	"4"	"AG"	2.899641968
"1"	"1"	"NO"	"24H"	"4"	"AG"	0
"1"	"1"	"NO"	"1WK"	"4"	"AG"	3.978307313
"1"	"1"	"NO"	"4WK"	"4"	"AG"	15.49745434
"1"	"1"	"NO"	"PRE"	"4"	"BG"	258.6911137
"1"	"1"	"NO"	"24H"	"4"	"BG"	255.8489317
"1"	"1"	"NO"	"1WK"	"4"	"BG"	292.5733198
"1"	"1"	"NO"	"4WK"	"4"	"BG"	528.2354786
"1"	"1"	"NO"	"PRE"	"4"	"BX"	14.92307641
"1"	"1"	"NO"	"24H"	"4"	"BX"	11.13709725
"1"	"1"	"NO"	"1WK"	"4"	"BX"	25.4296758
"1"	"1"	"NO"	"4WK"	"4"	"BX"	81.86259789
"1"	"1"	"NO"	"PRE"	"4"	"CBH"	18.15376403
"1"	"1"	"NO"	"24H"	"4"	"CBH"	15.84064478
"1"	"1"	"NO"	"1WK"	"4"	"CBH"	6.675317833
"1"	"1"	"NO"	"4WK"	"4"	"CBH"	52.92444787
"1"	"1"	"NO"	"PRE"	"4"	"LAP"	516.1984127
"1"	"1"	"NO"	"24H"	"4"	"LAP"	498.8572996
"1"	"1"	"NO"	"1WK"	"4"	"LAP"	630.4340167
"1"	"1"	"NO"	"4WK"	"4"	"LAP"	772.9318171
"1"	"1"	"NO"	"PRE"	"4"	"NAG"	5.424627451
"1"	"1"	"NO"	"24H"	"4"	"NAG"	5.117580911
"1"	"1"	"NO"	"1WK"	"4"	"NAG"	29.14851387
"1"	"1"	"NO"	"4WK"	"4"	"NAG"	20.62650068
"1"	"1"	"NO"	"PRE"	"4"	"PER1"	0
"1"	"1"	"NO"	"24H"	"4"	"PER1"	8.010015922
"1"	"1"	"NO"	"1WK"	"4"	"PER1"	0
"1"	"1"	"NO"	"4WK"	"4"	"PER1"	0
"1"	"1"	"NO"	"PRE"	"4"	"PEROX"	4.625308055
"1"	"1"	"NO"	"24H"	"4"	"PEROX"	10.56937527
"1"	"1"	"NO"	"1WK"	"4"	"PEROX"	3.597927858
"1"	"1"	"NO"	"4WK"	"4"	"PEROX"	5.901090852
"1"	"1"	"NO"	"PRE"	"4"	"PHENOX"	6.358744233
"1"	"1"	"NO"	"24H"	"4"	"PHENOX"	2.55935935
"1"	"1"	"NO"	"1WK"	"4"	"PHENOX"	5.307883155
