"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"NO3_mgkgdrysoil"	"NH4_mgkgdrysoil"	"minN_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"
"219"	11	4	"LO"	"1WK"	5	0.571495662	0.169927264	0.741422926	136.6016529	6.353431457	152.3081722	14.95669508
"220"	11	4	"LO"	"4WK"	5	0.620924961	0	0.620924961	116.9130033	5.68068592	239.2953226	39.17593251
"221"	12	4	"NO"	"PRE"	1	0.504970332	0.187831216	0.692801548	282.6311131	16.17555338	194.7971098	23.87404254
"222"	12	4	"NO"	"24H"	1	0.536086666	0.113083448	0.649170114	273.4388496	13.98802536	12.89312134	11.8910537
"223"	12	4	"NO"	"1WK"	1	0.544098864	0.170759953	0.714858817	247.9617218	9.669170841	101.1253553	17.6375338
"224"	12	4	"NO"	"4WK"	1	0.56043741	0.111076957	0.671514367	174.0150209	10.07379958	250.6906206	48.83982355
"225"	12	4	"NO"	"PRE"	2	0.525837887	0.189686487	0.715524374	232.8417507	12.68691592	153.8024095	26.9059461
"226"	12	4	"NO"	"24H"	2	0.535917363	0.149003188	0.684920551	216.3463262	11.58229223	230.7364044	42.06904798
"227"	12	4	"NO"	"1WK"	2	0.506788305	0.156417581	0.663205886	940.0851164	11.35427116	0	3.209528401
"228"	12	4	"NO"	"4WK"	2	0.588189516	0.102347821	0.690537337	153.2394347	7.331243045	321.2923074	55.71104335
"229"	12	4	"NO"	"PRE"	3	0.516099254	0.262273978	0.778373232	282.9589155	14.71308416	121.8654536	26.15701866
"230"	12	4	"NO"	"24H"	3	0.490703604	0.132877221	0.623580825	307.8240244	10.82384321	26.28404961	29.52240512
"231"	12	4	"NO"	"1WK"	3	0.524691403	0.150341513	0.675032916	1285.716178	7.022596057	0	11.39159667
"232"	12	4	"NO"	"4WK"	3	0.593366746	0.574712127	1.168078873	211.6156543	18.828935	105.0074835	13.05467966
"233"	12	4	"NO"	"PRE"	4	0	0.210855899	0.210855899	408.3175744	20.65147245	177.1802156	38.59502796
"234"	12	4	"NO"	"24H"	4	0.497850953	0.111166965	0.609017918	357.8736055	14.8660633	30.74527084	16.56365228
"235"	12	4	"NO"	"1WK"	4	0.504476714	0.156053198	0.660529912	378.1771814	5.708553016	0	12.64362733
"236"	12	4	"NO"	"4WK"	4	0.562228408	0.080105953	0.642334361	110.7435711	4.921439671	262.6173099	39.97295629
"237"	12	4	"NO"	"PRE"	5	0.526429319	0.309058901	0.83548822	243.4146313	17.69168094	351.3225779	44.22504331
"238"	12	4	"NO"	"24H"	5	0.572232376	0.095981914	0.66821429	117.8037316	8.60420835	343.0802573	39.58177965
"239"	12	4	"NO"	"1WK"	5	0.526860655	0.15740956	0.684270215	755.0306667	6.286029815	0	15.60348785
"240"	12	4	"NO"	"4WK"	5	0.626497537	0	0.626497537	144.1781427	5.662709451	188.7427995	37.76352527
