"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"NO3_mgkgdrysoil"	"NH4_mgkgdrysoil"	"minN_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"
"51"	3	1	"HI"	"1WK"	3	0.537825096	0.130551618	0.668376714	197.2715628	10.97759758	NA	NA
"52"	3	1	"HI"	"4WK"	3	0.560442251	0.090386206	0.650828457	155.0034711	9.974022744	578.0947058	42.57521035
"53"	3	1	"HI"	"PRE"	4	0.511548516	0.292022128	0.803570644	279.8845472	17.50998936	220.2305081	33.30194197
"54"	3	1	"HI"	"24H"	4	0.605220575	0.123393044	0.728613619	197.226899	14.26710109	521.8838553	54.92117767
"55"	3	1	"HI"	"1WK"	4	0.583200182	0.131307552	0.714507734	200.1931005	12.18910389	NA	NA
"56"	3	1	"HI"	"4WK"	4	0.575397504	0.083133991	0.658531495	330.5617864	7.09296423	143.9028576	38.2734655
"57"	3	1	"HI"	"PRE"	5	0	0.184269604	0.184269604	456.1763853	17.52649717	288.6332892	40.48362428
"58"	3	1	"HI"	"24H"	5	0.666698652	0.107362495	0.774061147	243.5022249	15.11346107	449.7247874	58.74281925
"59"	3	1	"HI"	"1WK"	5	0.567392249	0.123962006	0.691354255	286.2542499	15.08204794	674.3697573	33.19431349
"60"	3	1	"HI"	"4WK"	5	0.605328845	0	0.605328845	169.6366265	8.266682433	714.3552656	56.42352949
"61"	4	2	"NO"	"PRE"	1	0	0.229358149	0.229358149	383.647007	15.24002165	0	31.4475626
"62"	4	2	"NO"	"24H"	1	0.518151416	0.153365549	0.671516965	621.6861778	11.93732946	0	33.15899547
"63"	4	2	"NO"	"1WK"	1	0.535907106	0.213543793	0.749450899	127.6064469	10.03264434	556.6980227	26.92991104
"64"	4	2	"NO"	"4WK"	1	0.549411392	0.080550777	0.629962169	144.2516024	7.670186297	347.7592331	31.17439482
"65"	4	2	"NO"	"PRE"	2	0	0.22003873	0.22003873	270.8653431	11.90882316	116.0774816	26.33918636
"66"	4	2	"NO"	"24H"	2	0.481049489	0.127722156	0.608771645	216.303863	10.71907206	160.0246682	28.03598309
"67"	4	2	"NO"	"1WK"	2	0.502898654	0.194967893	0.697866547	228.9652601	11.75136497	400.2392188	16.02194252
"68"	4	2	"NO"	"4WK"	2	0.555047965	0.08374669	0.638794655	96.60173874	5.842081489	486.8751878	33.99677901
"69"	4	2	"NO"	"PRE"	3	0.533299427	0.28353562	0.816835047	252.8366595	14.0046243	210.4851177	35.40940287
"70"	4	2	"NO"	"24H"	3	0	0.0962239	0.0962239	156.0228694	10.30701658	286.607639	30.70807213
"71"	4	2	"NO"	"1WK"	3	0.514369949	0.188589392	0.702959341	235.0395963	12.36530193	541.6647658	22.40049896
"72"	4	2	"NO"	"4WK"	3	0.573805591	0	0.573805591	367.1283246	7.384395311	0	34.02175646
"73"	4	2	"NO"	"PRE"	4	0	0.266093556	0.266093556	257.0064906	13.34775015	145.084641	29.79610961
"74"	4	2	"NO"	"24H"	4	0	0.124173253	0.124173253	247.6388299	12.35800552	192.7583137	32.93527884
"75"	4	2	"NO"	"1WK"	4	0.497083352	0.178361377	0.675444729	182.7377919	11.82018477	415.1617424	12.10104879
"76"	4	2	"NO"	"4WK"	4	0	0.091290391	0.091290391	98.61320467	7.056106783	355.2924129	36.08013209
"77"	4	2	"NO"	"PRE"	5	0.531200972	0.19829577	0.729496742	348.6541863	11.1529121	305.3068899	41.41050043
"78"	4	2	"NO"	"24H"	5	0.578125453	0.168868668	0.746994121	177.3993202	13.15980371	335.7431913	27.28483253
"79"	4	2	"NO"	"1WK"	5	0.516166311	0.182336498	0.698502809	188.2189266	11.83610865	323.0662713	13.16139123
"80"	4	2	"NO"	"4WK"	5	0.545278969	0	0.545278969	283.9331853	9.025204682	58.16446144	26.56956397
"81"	5	2	"LO"	"PRE"	1	0.518619466	0.267447395	0.786066861	319.8613706	18.39924152	490.3433239	36.17912578
"82"	5	2	"LO"	"24H"	1	0.654632331	0.205383417	0.860015748	282.8722773	17.62341309	139.0709215	33.92487978
"83"	5	2	"LO"	"1WK"	1	0.497278673	0.191655936	0.688934609	158.8023162	9.89952733	692.6233507	20.71334814
"84"	5	2	"LO"	"4WK"	1	0	0.086230126	0.086230126	97.89420011	6.725504667	317.8319705	40.97651563
"85"	5	2	"LO"	"PRE"	2	0.509507208	0.249260292	0.7587675	297.4018563	12.03054497	819.8326675	61.51459008
"86"	5	2	"LO"	"24H"	2	0.498831457	0.16707369	0.665905147	270.3344672	13.46932899	0	16.68486321
"87"	5	2	"LO"	"1WK"	2	0.528186811	0.120278347	0.648465158	142.8291541	8.636707399	717.8679219	24.59081501
"88"	5	2	"LO"	"4WK"	2	0	0	0	88.58591411	5.381890286	244.2990394	32.56334198
"89"	5	2	"LO"	"PRE"	3	0.511285746	0.492453666	1.003739412	243.0043488	16.82598006	863.3439895	73.3787336
"90"	5	2	"LO"	"24H"	3	0.517038802	0.136954908	0.65399371	282.5098424	11.80411297	0	18.858268
"91"	5	2	"LO"	"1WK"	3	0.504585912	0.191030564	0.695616476	161.0808585	10.43235754	746.9008763	23.43392164
"92"	5	2	"LO"	"4WK"	3	0	0.102225355	0.102225355	150.3085348	7.006815658	130.9022164	32.76094782
"93"	5	2	"LO"	"PRE"	4	0.520152305	0.264823737	0.784976042	432.6726327	17.31778485	489.6331075	54.76586536
"94"	5	2	"LO"	"24H"	4	0.549440967	0.126432657	0.675873624	179.3927295	12.02265584	280.5407134	30.06795955
"95"	5	2	"LO"	"1WK"	4	0.553599601	0.17580657	0.729406171	187.3055146	9.390370636	748.2950059	27.82613672
"96"	5	2	"LO"	"4WK"	4	0.632454845	0.113803256	0.746258101	152.6807291	9.551332679	311.5462416	39.20070769
"97"	5	2	"LO"	"PRE"	5	0.520603863	0.189376406	0.709980269	167.6876295	8.183242899	602.7428308	51.64518574
"98"	5	2	"LO"	"24H"	5	0.509172231	0.167484388	0.676656619	167.928055	12.14993368	311.9431408	37.3023483
"99"	5	2	"LO"	"1WK"	5	0.592794568	0.090144958	0.682939526	148.8368792	6.225338261	537.2023294	17.07109924
"100"	5	2	"LO"	"4WK"	5	0	0.118586739	0.118586739	310.1963551	14.86007287	167.4500044	33.28773551
"101"	6	2	"HI"	"PRE"	1	0	0.223585979	0.223585979	310.6846451	12.55184165	773.4609338	59.12109985
"102"	6	2	"HI"	"24H"	1	0.528846092	0.143205794	0.672051886	149.9167443	6.780798448	375.3790622	13.91573908
"103"	6	2	"HI"	"1WK"	1	0.51549297	0.119452447	0.634945417	73.80738864	5.002629183	805.3259498	24.50640965
"104"	6	2	"HI"	"4WK"	1	0.559620867	0	0.559620867	101.0535971	7.250089201	442.4297135	48.67731704
"105"	6	2	"HI"	"PRE"	2	0.501349913	0.189135327	0.69048524	201.1324325	7.037127008	440.556468	43.23151122
"106"	6	2	"HI"	"24H"	2	0.582969259	0.167582579	0.750551838	245.3333169	11.73299996	0	18.27006456
"107"	6	2	"HI"	"1WK"	2	0.527395482	0.1765763	0.703971782	148.487062	8.645585946	669.3631518	23.18388109
"108"	6	2	"HI"	"4WK"	2	0	0.121602833	0.121602833	186.7823366	7.584644037	142.4228243	33.1241549
