"sample_type"	"Plot"	"Block"	"Treatment"	"GrazeTime"	"AG"	"BG"	"BX"	"CBH"	"LAP"	"NAG"	"PER1"	"PEROX"	"PHENOX"	"PHOS"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"	"minN_mgkgdrysoil"	"NH4_mgkgdrysoil"	"NO3_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"Gravmois"	"biomass_kg_plot"
"bulk"	8	3	"NO"	"4WK"	34.272461938	451.1921975	62.797422918	53.734891722	476.15795638	47.968983078	3.5917816712	4.3024719518	2.6044222752	25.78214142	5.070325145	246.52722194	43.961510508	2.5852977204	0.6247039666	1.9606037538	251.862417314	20.35	1987.81720496894
"rhizospheric"	8	3	"NO"	"4WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	9	3	"HI"	"4WK"	32.70247349	455.2375096	74.028800092	56.934417772	551.65349374	25.86250085	2.3800875794	5.1781551468	3.3976967446	0	6.6876186814	290.98412946	45.128975186	2.8527364988	1.4082889674	1.4444575314	127.193048928	14.95	1501.38349700599
"rhizospheric"	9	3	"HI"	"4WK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	1	1	"NO"	"PRE"	10.0701067436	266.21654272	37.235934942	15.3894428992	504.32595234	10.479683382	3.0882001756	8.4371893802	5.8285878074	290.33898176	9.5544721798	191.2385999444	23.0365858026	6.0302570678	6.0302570678	1e-05	315.39053084	4.34	1769.8173
"rhizospheric"	1	1	"NO"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	2	1	"LO"	"PRE"	24.164521276	362.23678286	62.163192888	38.0070593398	560.60147476	33.749817474	6.9428458512	11.9446876196	5.0018417682	215.810619982	6.161932964	366.43038686	37.100988326	6.7290052074	6.7290052074	1e-05	221.16678588	5.156	1993.82649484536
"rhizospheric"	2	1	"LO"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	3	1	"HI"	"PRE"	29.95952907	536.28580086	114.54150492	56.7167609	585.06139024	68.842224068	4.9339647354	11.8682798366	6.9343151012	107.916745662	9.2123286286	283.86417018	41.678896146	7.4027989752	7.4027989752	1e-05	292.22899138	6.296	2689.89165306122
"rhizospheric"	3	1	"HI"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
